item,cutpoint,mean_coef,std_coef,n_folds_nonzero,sign_consistent
ADL0101,P(Y>=1),0.0,0.0,0,True
ADL0102,P(Y>=1),0.0,0.0,0,True
ADL0103,P(Y>=1),0.0,0.0,0,True
ADL0104,P(Y>=1),-0.047504497614684116,0.04110490373839122,2,True
ADL0105,P(Y>=1),-0.014484814549568722,0.02048462118445922,1,True
ADL0106B,P(Y>=1),0.0,0.0,0,True
ADL0106A,P(Y>=1),-0.004232120462549875,0.0059851221557347305,1,True
ADL0107A,P(Y>=1),-0.17852189274415067,0.04604343373249544,3,True
ADL0110A,P(Y>=1),0.0,0.0,0,True
ADL0111A,P(Y>=1),-0.2513590768736104,0.16381361289628563,3,True
ADL0112A,P(Y>=1),0.0,0.0,0,True
ADL0113A,P(Y>=1),0.0,0.0,0,True
ADL0114A,P(Y>=1),0.0,0.0,0,True
ADL0115A,P(Y>=1),-0.08362560160629513,0.11826445995323187,1,True
ADL0116A,P(Y>=1),-0.13813497194014598,0.06733362882253785,3,True
ADL0116B,P(Y>=1),-0.2140073749078869,0.002477852430469703,3,True
ADL0117A,P(Y>=1),-0.5143869647372611,0.05296858842539967,3,True
Q18,P(Y>=1),0.0,0.0,0,True
ADL0121A,P(Y>=1),-0.15118400530236392,0.11585874944722228,2,True
ADL0122Q,P(Y>=1),0.03414837506073231,0.0482930951438908,1,True
ADL0123L,P(Y>=1),0.0,0.0,0,True
ADL0101,P(Y>=2),0.0,0.0,0,True
ADL0102,P(Y>=2),0.0,0.0,0,True
ADL0103,P(Y>=2),0.0,0.0,0,True
ADL0104,P(Y>=2),-0.2772143833851572,0.02560367775916201,3,True
ADL0105,P(Y>=2),-0.17910641275292438,0.009360115482157809,3,True
ADL0106B,P(Y>=2),0.0,0.0,0,True
ADL0106A,P(Y>=2),-0.028299493296530975,0.02018780485613821,2,True
ADL0107A,P(Y>=2),-0.39207316475672666,0.08654663393225268,3,True
ADL0110A,P(Y>=2),-0.011353662847915032,0.01605650398213298,1,True
ADL0111A,P(Y>=2),-0.32837325107197995,0.08781876916881602,3,True
ADL0112A,P(Y>=2),0.0,0.0,0,True
ADL0113A,P(Y>=2),-0.10150327144383313,0.07658166995560746,2,True
ADL0114A,P(Y>=2),-0.005215356234727807,0.007375627519759142,1,True
ADL0115A,P(Y>=2),-0.24043985568613246,0.26458194806846197,2,True
ADL0116A,P(Y>=2),-0.28555245535740276,0.10620835639136725,3,True
ADL0116B,P(Y>=2),-0.2415914139139841,0.012662702573571655,3,True
ADL0117A,P(Y>=2),-0.4629936436788242,0.17304710507988705,3,True
Q18,P(Y>=2),-0.01072928521490625,0.015173500665489548,1,True
ADL0121A,P(Y>=2),0.0,0.0,0,True
ADL0122Q,P(Y>=2),-0.0007140596392621414,0.0010098328261877601,1,True
ADL0123L,P(Y>=2),0.0,0.0,0,True
ADL0101,P(Y>=3),-0.0851100419283569,0.0416288498367451,3,True
ADL0102,P(Y>=3),-0.16687141190474467,0.10164637930872483,3,True
ADL0103,P(Y>=3),-0.24264025010018508,0.044246181446060864,3,True
ADL0104,P(Y>=3),-0.3769949568348461,0.05335064895633852,3,True
ADL0105,P(Y>=3),-0.2927892855138876,0.03254100318193262,3,True
ADL0106B,P(Y>=3),-0.02408325152059211,0.041329382712819614,2,False
ADL0106A,P(Y>=3),-0.10244871764328996,0.04848457121896203,3,True
ADL0107A,P(Y>=3),-0.18609771470822914,0.015373486077053493,3,True
ADL0110A,P(Y>=3),0.06327107080065543,0.015383441253488084,3,True
ADL0111A,P(Y>=3),-0.18623573188526366,0.04029090984943273,3,True
ADL0112A,P(Y>=3),0.04123376947395779,0.022213757944187153,3,True
ADL0113A,P(Y>=3),-0.025306767660474877,0.029748232914828764,2,True
ADL0114A,P(Y>=3),-0.035203006804357326,0.03822595889945529,2,True
ADL0115A,P(Y>=3),-0.894562453261374,0.05158835923279563,3,True
ADL0116A,P(Y>=3),-0.13631876055342043,0.047807203894827364,3,True
ADL0116B,P(Y>=3),-0.16626981059421256,0.056101451462671835,3,True
ADL0117A,P(Y>=3),-0.1492614939763897,0.03770693250824773,3,True
Q18,P(Y>=3),-0.5354967550958522,0.01575182247241275,3,True
ADL0121A,P(Y>=3),-0.02672114270634464,0.037789402417419495,1,True
ADL0122Q,P(Y>=3),-0.019382536682077334,0.04146569475314408,3,False
ADL0123L,P(Y>=3),-0.07947417195827339,0.06144836355581874,3,True
ADL0101,P(Y>=4),0.032998901550984096,0.030413567038909677,2,True
ADL0102,P(Y>=4),-0.0768662034901642,0.04230408976043805,3,True
ADL0103,P(Y>=4),-0.3172553257768143,0.06578308166935841,3,True
ADL0104,P(Y>=4),-0.5603807489854992,0.02077010981557249,3,True
ADL0105,P(Y>=4),-0.41064099928727765,0.030135357037241635,3,True
ADL0106B,P(Y>=4),-0.2422839139250258,0.12512491536440487,3,True
ADL0106A,P(Y>=4),-0.030831086801231283,0.043601741097003405,1,True
ADL0107A,P(Y>=4),-0.00868868475040443,0.03627400387673494,2,False
ADL0110A,P(Y>=4),0.042046056570792335,0.045029249055175184,2,True
ADL0111A,P(Y>=4),-0.09922131662570181,0.05487666868078008,3,True
ADL0112A,P(Y>=4),-0.02254283551747988,0.01970161483048773,2,True
ADL0113A,P(Y>=4),-0.035988885711722686,0.050895970268213526,1,True
ADL0114A,P(Y>=4),-0.0590788023836844,0.042384568313973116,2,True
ADL0115A,P(Y>=4),-0.06645007168340379,0.05527835178512201,2,True
ADL0116A,P(Y>=4),-0.02942875598977554,0.041618545844509025,1,True
ADL0116B,P(Y>=4),-0.14480413172581932,0.08740338383220309,3,True
ADL0117A,P(Y>=4),0.0,0.0,0,True
Q18,P(Y>=4),-0.12635949874562086,0.051784610760526,3,True
ADL0121A,P(Y>=4),-0.02788154755565064,0.039418509913878734,2,True
ADL0122Q,P(Y>=4),-0.05939123735012577,0.01197553886577636,3,True
ADL0123L,P(Y>=4),-0.05603086268052637,0.02916889508486727,3,True
ADL0101,P(Y>=5),0.08221309945990367,0.042110401336416844,3,True
ADL0102,P(Y>=5),-0.19392912786020963,0.02343972367300637,3,True
ADL0103,P(Y>=5),-0.44587502341650015,0.05073218919090114,3,True
ADL0104,P(Y>=5),-0.28192102831916754,0.0716864646507103,3,True
ADL0105,P(Y>=5),-0.16878768285042844,0.02865020224951097,3,True
ADL0106B,P(Y>=5),0.061695433513144195,0.05310422146396635,2,True
ADL0106A,P(Y>=5),0.0,0.0,0,True
ADL0107A,P(Y>=5),-0.004265467720571717,0.006032282300297174,1,True
ADL0110A,P(Y>=5),0.13111084525907665,0.058971971924540526,3,True
ADL0111A,P(Y>=5),0.0,0.0,0,True
ADL0112A,P(Y>=5),0.0,0.0,0,True
ADL0113A,P(Y>=5),-0.01397655297491304,0.019765830772348048,1,True
ADL0114A,P(Y>=5),0.07497123216670569,0.0663583081839964,2,True
ADL0115A,P(Y>=5),-0.18916286814699576,0.029745934625638508,3,True
ADL0116A,P(Y>=5),-0.004769617707727616,0.006745258049603268,1,True
ADL0116B,P(Y>=5),-0.0029241593753501376,0.004135385847160603,1,True
ADL0117A,P(Y>=5),0.0,0.0,0,True
Q18,P(Y>=5),-0.10461197270035315,0.02916270897678379,3,True
ADL0121A,P(Y>=5),0.0,0.0,0,True
ADL0122Q,P(Y>=5),0.006258644330978843,0.008851059694939767,1,True
ADL0123L,P(Y>=5),-0.026802726600864083,0.03790477946752011,1,True
