문항,코드,계수(β),OR,SE,z,p_value,유의
Q15 외출,ADL0115A,-0.488,0.61,0.053,-9.23,2.60e-20,***
Q4 목욕,ADL0104,-0.588,0.56,0.078,-7.54,4.53e-14,***
Q18 혼자있기,Q18,-0.34,0.71,0.047,-7.24,4.65e-13,***
Q3 화장실,ADL0103,-0.74,0.48,0.127,-5.81,6.19e-09,***
Q5 몸단장,ADL0105,-0.437,0.65,0.083,-5.25,1.55e-07,***
Q16b 지불,ADL0116B,-0.517,0.6,0.132,-3.92,8.86e-05,***
Q11 식사준비,ADL0111A,-0.145,0.87,0.047,-3.08,2.04e-03,**
Q17 금전,ADL0117A,-0.14,0.87,0.051,-2.75,5.89e-03,**
Q10 설거지,ADL0110A,0.128,1.14,0.053,2.41,1.62e-02,*
Q7 전화,ADL0107A,-0.079,0.92,0.038,-2.08,3.79e-02,*
Q16a 쇼핑,ADL0116A,-0.078,0.92,0.055,-1.42,1.56e-01,
Q13 빨래,ADL0113A,-0.047,0.95,0.037,-1.27,2.04e-01,
Q23 가전사용,ADL0123L,-0.049,0.95,0.041,-1.2,2.32e-01,
Q12 집안일,ADL0112A,0.067,1.07,0.059,1.14,2.55e-01,
Q6a 옷고르기,ADL0106A,-0.099,0.91,0.091,-1.08,2.78e-01,
Q2 걷기,ADL0102,-0.136,0.87,0.139,-0.98,3.28e-01,
Q21 글쓰기,ADL0121A,-0.038,0.96,0.051,-0.74,4.57e-01,
Q14 가전,ADL0114A,-0.027,0.97,0.054,-0.51,6.09e-01,
Q6b 옷입기,ADL0106B,-0.033,0.97,0.067,-0.49,6.24e-01,
Q1 먹기,ADL0101,0.054,1.06,0.139,0.39,6.97e-01,
Q22 취미,ADL0122Q,-0.013,0.99,0.035,-0.36,7.15e-01,
