문항,코드,P(Y≥1),P(Y≥2),P(Y≥3),P(Y≥4),P(Y≥5)
Q1 먹기,ADL0101,-0.19,0.0,-0.28,0.11,0.34
Q2 걷기,ADL0102,0.0,0.0,-0.49,-0.24,-0.54
Q3 화장실,ADL0103,0.0,0.0,-0.63,-0.77,-1.1
Q4 목욕,ADL0104,-0.17,-0.52,-0.5,-0.74,-0.39
Q5 몸단장,ADL0105,-0.14,-0.43,-0.47,-0.63,-0.28
Q6b 옷입기,ADL0106B,0.0,0.0,0.0,-0.2,0.04
Q6a 옷고르기,ADL0106A,0.0,-0.02,-0.13,0.0,0.0
Q7 전화,ADL0107A,-0.18,-0.32,-0.14,0.0,0.0
Q10 설거지,ADL0110A,0.0,0.0,0.08,0.05,0.18
Q11 식사준비,ADL0111A,-0.35,-0.38,-0.19,-0.1,0.0
Q12 집안일,ADL0112A,0.0,0.0,0.06,0.0,0.0
Q13 빨래,ADL0113A,0.0,-0.06,-0.01,-0.03,0.0
Q14 가전,ADL0114A,0.0,0.0,-0.04,-0.06,0.1
Q15 외출,ADL0115A,0.0,-0.16,-0.82,-0.05,-0.19
Q16a 쇼핑,ADL0116A,-0.16,-0.28,-0.12,0.0,0.0
Q16b 지불,ADL0116B,-0.55,-0.54,-0.34,-0.37,0.0
Q17 금전,ADL0117A,-0.65,-0.52,-0.16,0.0,0.01
Q18 혼자있기,Q18,0.0,0.0,-0.52,-0.13,-0.12
Q21 글쓰기,ADL0121A,-0.15,0.0,-0.01,-0.02,0.0
Q22 취미,ADL0122Q,0.05,0.0,-0.0,-0.05,0.03
Q23 가전사용,ADL0123L,0.0,0.0,-0.07,-0.05,-0.04
