item,coef_P(Y>=1),coef_P(Y>=2),coef_P(Y>=3),coef_P(Y>=4),coef_P(Y>=5)
ADL0101,-0.765,-0.031,-0.326,0.203,0.549
ADL0102,-0.33,0.11,-0.604,-0.265,-0.58
ADL0103,-0.132,0.257,-0.707,-0.808,-1.176
ADL0104,-0.379,-0.647,-0.507,-0.746,-0.444
ADL0105,-0.444,-0.631,-0.499,-0.643,-0.342
ADL0106B,-0.028,0.041,0.02,-0.211,0.089
ADL0106A,-0.12,-0.143,-0.158,0.004,0.022
ADL0107A,-0.221,-0.333,-0.144,0.008,-0.026
ADL0110A,-0.059,0.094,0.115,0.099,0.236
ADL0111A,-0.444,-0.436,-0.199,-0.12,0.049
ADL0112A,0.124,-0.044,0.108,-0.007,-0.025
ADL0113A,0.029,-0.096,-0.019,-0.041,-0.016
ADL0114A,0.118,-0.061,-0.069,-0.081,0.178
ADL0115A,-0.038,-0.206,-0.814,-0.059,-0.212
ADL0116A,-0.236,-0.296,-0.117,0.004,-0.004
ADL0116B,-0.632,-0.593,-0.348,-0.4,-0.102
ADL0117A,-0.645,-0.531,-0.163,0.039,0.099
Q18,-0.096,-0.044,-0.526,-0.136,-0.142
ADL0121A,-0.244,0.025,-0.027,-0.052,-0.08
ADL0122Q,0.186,0.016,-0.01,-0.068,0.089
ADL0123L,-0.045,0.007,-0.081,-0.05,-0.073
(절편),14.791,11.53,13.056,5.483,1.489
