cutpoint,item_code,item_label,ridge_coef_raw,ridge_coef_standardized
P(Y>=1),ADL0103,Q3화장실,-0.6731,-0.1943
P(Y>=1),ADL0104,Q4목욕,-1.4707,-0.793
P(Y>=1),ADL0105,Q5몸단장,-1.5376,-0.7314
P(Y>=1),ADL0106A,Q6a옷고르기,-0.8187,-0.3992
P(Y>=1),ADL0115A,Q15외출,-0.2433,-0.1973
P(Y>=1),ADL0116A,Q16a쇼핑,-1.8622,-1.1934
P(Y>=1),ADL0107A,Q7전화,-0.4742,-0.4765
P(Y>=1),(intercept),(절편),24.8791,5.3654
P(Y>=2),ADL0103,Q3화장실,0.3612,0.1043
P(Y>=2),ADL0104,Q4목욕,-1.5051,-0.8116
P(Y>=2),ADL0105,Q5몸단장,-0.9636,-0.4584
P(Y>=2),ADL0106A,Q6a옷고르기,-0.7819,-0.3813
P(Y>=2),ADL0115A,Q15외출,-0.4593,-0.3724
P(Y>=2),ADL0116A,Q16a쇼핑,-1.4292,-0.9159
P(Y>=2),ADL0107A,Q7전화,-0.4135,-0.4155
P(Y>=2),(intercept),(절편),18.2195,3.9385
P(Y>=3),ADL0103,Q3화장실,-0.8346,-0.2409
P(Y>=3),ADL0104,Q4목욕,-0.4828,-0.2603
P(Y>=3),ADL0105,Q5몸단장,-0.5884,-0.2799
P(Y>=3),ADL0106A,Q6a옷고르기,-0.4195,-0.2045
P(Y>=3),ADL0115A,Q15외출,-1.3104,-1.0625
P(Y>=3),ADL0116A,Q16a쇼핑,-0.5994,-0.3841
P(Y>=3),ADL0107A,Q7전화,-0.1337,-0.1343
P(Y>=3),(intercept),(절편),12.2075,-0.5592
P(Y>=4),ADL0103,Q3화장실,-1.4794,-0.4271
P(Y>=4),ADL0104,Q4목욕,-0.7724,-0.4165
P(Y>=4),ADL0105,Q5몸단장,-0.7718,-0.3671
P(Y>=4),ADL0106A,Q6a옷고르기,-0.3917,-0.191
P(Y>=4),ADL0115A,Q15외출,-0.4013,-0.3254
P(Y>=4),ADL0116A,Q16a쇼핑,-0.0217,-0.0139
P(Y>=4),ADL0107A,Q7전화,-0.176,-0.1769
P(Y>=4),(intercept),(절편),8.4172,-3.2493
P(Y>=5),ADL0103,Q3화장실,-1.5925,-0.4597
P(Y>=5),ADL0104,Q4목욕,-0.3775,-0.2035
P(Y>=5),ADL0105,Q5몸단장,-0.4312,-0.2051
P(Y>=5),ADL0106A,Q6a옷고르기,0.0701,0.0342
P(Y>=5),ADL0115A,Q15외출,-0.7212,-0.5848
P(Y>=5),ADL0116A,Q16a쇼핑,-0.0439,-0.0281
P(Y>=5),ADL0107A,Q7전화,-0.172,-0.1729
P(Y>=5),(intercept),(절편),5.6549,-4.1148
