item,coef
ADL0103,-0.7396817425160128
ADL0104,-0.5881137806649809
ADL0116B,-0.5167846872892806
ADL0115A,-0.4877254011248384
ADL0105,-0.4371624632449384
Q18,-0.3395478309558754
ADL0111A,-0.1447578373186641
ADL0117A,-0.13964237541250665
ADL0102,-0.135630826220392
ADL0106A,-0.09882542801427902
ADL0107A,-0.07879602797000605
ADL0116A,-0.07822008563137951
ADL0123L,-0.04929169149639769
ADL0113A,-0.04662859459282332
ADL0121A,-0.03824104166472505
ADL0106B,-0.032803429333429036
ADL0114A,-0.027460981537468114
ADL0122Q,-0.01273850011355883
ADL0101,0.05399976740914501
ADL0112A,0.0672102441038819
ADL0110A,0.12790385409956873
