문항,코드,coef_P(Y>=1),coef_P(Y>=2),coef_P(Y>=3),coef_P(Y>=4),coef_P(Y>=5)
Q1 먹기,ADL0101,-0.19,0.0,-0.283,0.109,0.345
Q2 걷기,ADL0102,0.0,0.0,-0.486,-0.238,-0.542
Q3 화장실,ADL0103,0.0,0.0,-0.63,-0.774,-1.104
Q4 목욕,ADL0104,-0.169,-0.519,-0.502,-0.741,-0.395
Q5 몸단장,ADL0105,-0.144,-0.432,-0.475,-0.633,-0.279
Q6b 옷입기,ADL0106B,0.0,0.0,0.0,-0.202,0.036
Q6a 옷고르기,ADL0106A,0.0,-0.015,-0.126,0.0,0.0
Q7 전화,ADL0107A,-0.178,-0.322,-0.139,0.0,0.0
Q10 설거지,ADL0110A,0.0,0.0,0.076,0.049,0.182
Q11 식사준비,ADL0111A,-0.353,-0.382,-0.19,-0.102,0.0
Q12 집안일,ADL0112A,0.0,0.0,0.065,0.0,0.0
Q13 빨래,ADL0113A,0.0,-0.06,-0.007,-0.027,0.0
Q14 가전,ADL0114A,0.0,0.0,-0.043,-0.06,0.101
Q15 외출,ADL0115A,0.0,-0.155,-0.822,-0.053,-0.194
Q16a 쇼핑,ADL0116A,-0.156,-0.28,-0.118,0.0,0.0
Q16b 지불,ADL0116B,-0.549,-0.538,-0.336,-0.369,0.0
Q17 금전,ADL0117A,-0.646,-0.516,-0.157,0.0,0.007
Q18 혼자있기,Q18,0.0,0.0,-0.517,-0.128,-0.115
Q21 글쓰기,ADL0121A,-0.153,0.0,-0.014,-0.021,0.0
Q22 취미,ADL0122Q,0.048,0.0,-0.005,-0.052,0.032
Q23 가전사용,ADL0123L,0.0,0.0,-0.067,-0.046,-0.038
(절편),,9.346,10.722,12.256,5.493,1.936
결정규칙,P(Y>=5)>0.51→5 / P(Y>=4)>0.09→4 / else 조건부중앙값,,,,,
