item,code,coef,OR,se,z,p
Q15 외출,ADL0115A,-0.4877254011248384,0.6140214594970353,0.052817112696049585,-9.234230654212142,2.6014876242556883e-20
Q4 목욕,ADL0104,-0.5881137806649809,0.5553738542964811,0.07794924069111735,-7.544830141392243,4.5287737458542004e-14
Q18 혼자있기,Q18,-0.3395478309558754,0.7120922360432149,0.04692995199929275,-7.235205161961224,4.648259147260528e-13
Q3 화장실,ADL0103,-0.7396817425160128,0.4772657847608426,0.12727927030380728,-5.81148635398711,6.192058157197675e-09
Q5 몸단장,ADL0105,-0.4371624632449384,0.6458664933202621,0.0833151916299365,-5.24709185314841,1.545188713259229e-07
Q16b 지불,ADL0116B,-0.5167846872892806,0.59643519388804,0.13183871976580028,-3.919824829968787,8.861335257445261e-05
Q11 식사준비,ADL0111A,-0.1447578373186641,0.8652317945943531,0.046931558164788265,-3.0844455837239337,0.002039319123716887
Q17 금전,ADL0117A,-0.13964237541250665,0.869669194879188,0.050706193757833716,-2.7539510474681013,0.005888057434613093
Q10 설거지,ADL0110A,0.12790385409956873,1.136443733038227,0.05317692462119211,2.4052510559927414,0.016161358842960518
Q7 전화,ADL0107A,-0.07879602797000605,0.9242284219677289,0.037948139219995326,-2.0764134840236776,0.03785572520719554
Q16a 쇼핑,ADL0116A,-0.07822008563137951,0.9247608775636443,0.05516352767938805,-1.4179674310533006,0.1562002736795225
Q13 빨래,ADL0113A,-0.04662859459282332,0.9544418166212535,0.036707622938709994,-1.2702700654487538,0.20398844725985654
Q23 가전사용,ADL0123L,-0.04929169149639769,0.951903427063659,0.0412260214448441,-1.1956451233681273,0.23183507468558162
Q12 집안일,ADL0112A,0.0672102441038819,1.0695203148786614,0.05908863238092691,1.1374479556507142,0.25535106953825304
Q6a 옷고르기,ADL0106A,-0.09882542801427902,0.9059008391288694,0.09118888623267389,-1.0837442159576336,0.27847822508254794
Q2 걷기,ADL0102,-0.135630826220392,0.8731649225892251,0.13852959985296567,-0.9790746985795785,0.3275430720849041
Q21 글쓰기,ADL0121A,-0.03824104166472505,0.9624809149263606,0.05137686059970145,-0.7443242194706475,0.4566803523649927
Q14 가전,ADL0114A,-0.027460981537468114,0.9729126433683849,0.05361424396252052,-0.5121956313823046,0.6085141002552537
Q6b 옷입기,ADL0106B,-0.032803429333429036,0.9677287679827065,0.06695324461113508,-0.48994532713017247,0.624172587228336
Q1 먹기,ADL0101,0.05399976740914501,1.0554843566590426,0.1386995321130479,0.38932912452171914,0.6970326942681655
Q22 취미,ADL0122Q,-0.01273850011355883,0.9873422911619331,0.034911203636087046,-0.3648828681572951,0.7151988431716285
