cut,item,label,coef_raw
P(Y>=1),ADL0103,Q3화장실,0.0
P(Y>=1),ADL0104,Q4목욕,-0.1736
P(Y>=1),ADL0105,Q5몸단장,-0.158
P(Y>=1),ADL0115A,Q15외출,0.0
P(Y>=1),ADL0111A,Q11식사준비,-0.363
P(Y>=1),ADL0110A,Q10설거지,0.0
P(Y>=1),ADL0117A,Q17금전,-0.6609
P(Y>=1),ADL0116B,Q16b지불,-0.5681
P(Y>=1),ADL0107A,Q7전화,-0.1914
P(Y>=1),Q18,Q18혼자,0.0
P(Y>=1),ADL0116A,Q16a쇼핑,-0.1639
P(Y>=1),ADL0102,Q2걷기,0.0
P(Y>=1),ADL0106B,Q6b입기,0.0
P(Y>=1),(절편),,8.8416
P(Y>=2),ADL0103,Q3화장실,0.0
P(Y>=2),ADL0104,Q4목욕,-0.5383
P(Y>=2),ADL0105,Q5몸단장,-0.4459
P(Y>=2),ADL0115A,Q15외출,-0.154
P(Y>=2),ADL0111A,Q11식사준비,-0.3867
P(Y>=2),ADL0110A,Q10설거지,0.0
P(Y>=2),ADL0117A,Q17금전,-0.5239
P(Y>=2),ADL0116B,Q16b지불,-0.5541
P(Y>=2),ADL0107A,Q7전화,-0.3327
P(Y>=2),Q18,Q18혼자,0.0
P(Y>=2),ADL0116A,Q16a쇼핑,-0.2969
P(Y>=2),ADL0102,Q2걷기,0.0
P(Y>=2),ADL0106B,Q6b입기,0.0
P(Y>=2),(절편),,10.7021
P(Y>=3),ADL0103,Q3화장실,-0.6676
P(Y>=3),ADL0104,Q4목욕,-0.5345
P(Y>=3),ADL0105,Q5몸단장,-0.4912
P(Y>=3),ADL0115A,Q15외출,-0.8207
P(Y>=3),ADL0111A,Q11식사준비,-0.2013
P(Y>=3),ADL0110A,Q10설거지,0.0461
P(Y>=3),ADL0117A,Q17금전,-0.1679
P(Y>=3),ADL0116B,Q16b지불,-0.3363
P(Y>=3),ADL0107A,Q7전화,-0.1536
P(Y>=3),Q18,Q18혼자,-0.5144
P(Y>=3),ADL0116A,Q16a쇼핑,-0.1355
P(Y>=3),ADL0102,Q2걷기,-0.4638
P(Y>=3),ADL0106B,Q6b입기,-0.0665
P(Y>=3),(절편),,11.5158
P(Y>=4),ADL0103,Q3화장실,-0.7806
P(Y>=4),ADL0104,Q4목욕,-0.7517
P(Y>=4),ADL0105,Q5몸단장,-0.6612
P(Y>=4),ADL0115A,Q15외출,-0.0723
P(Y>=4),ADL0111A,Q11식사준비,-0.1204
P(Y>=4),ADL0110A,Q10설거지,0.0105
P(Y>=4),ADL0117A,Q17금전,0.0
P(Y>=4),ADL0116B,Q16b지불,-0.4169
P(Y>=4),ADL0107A,Q7전화,0.0
P(Y>=4),Q18,Q18혼자,-0.1429
P(Y>=4),ADL0116A,Q16a쇼핑,0.0
P(Y>=4),ADL0102,Q2걷기,-0.2324
P(Y>=4),ADL0106B,Q6b입기,-0.2157
P(Y>=4),(절편),,5.7335
P(Y>=5),ADL0103,Q3화장실,-1.0582
P(Y>=5),ADL0104,Q4목욕,-0.3816
P(Y>=5),ADL0105,Q5몸단장,-0.265
P(Y>=5),ADL0115A,Q15외출,-0.1857
P(Y>=5),ADL0111A,Q11식사준비,0.0013
P(Y>=5),ADL0110A,Q10설거지,0.2244
P(Y>=5),ADL0117A,Q17금전,0.0139
P(Y>=5),ADL0116B,Q16b지불,-0.0005
P(Y>=5),ADL0107A,Q7전화,0.0
P(Y>=5),Q18,Q18혼자,-0.1171
P(Y>=5),ADL0116A,Q16a쇼핑,0.0
P(Y>=5),ADL0102,Q2걷기,-0.5132
P(Y>=5),ADL0106B,Q6b입기,0.032
P(Y>=5),(절편),,2.7355
