cut,item,label,coef_raw
P(Y>=1),ADL0104,Q4목욕,-0.2023
P(Y>=1),ADL0115A,Q15외출,0.0
P(Y>=1),ADL0117A,Q17금전,-0.676
P(Y>=1),ADL0105,Q5몸단장,-0.1738
P(Y>=1),ADL0103,Q3화장실,0.0
P(Y>=1),ADL0111A,Q11식사준비,-0.3769
P(Y>=1),ADL0116B,Q16b지불,-0.7412
P(Y>=1),ADL0107A,Q7전화,-0.2001
P(Y>=1),(절편),,8.8114
P(Y>=2),ADL0104,Q4목욕,-0.5801
P(Y>=2),ADL0115A,Q15외출,-0.1871
P(Y>=2),ADL0117A,Q17금전,-0.5398
P(Y>=2),ADL0105,Q5몸단장,-0.4668
P(Y>=2),ADL0103,Q3화장실,0.0
P(Y>=2),ADL0111A,Q11식사준비,-0.4111
P(Y>=2),ADL0116B,Q16b지불,-0.8598
P(Y>=2),ADL0107A,Q7전화,-0.3412
P(Y>=2),(절편),,10.6316
P(Y>=3),ADL0104,Q4목욕,-0.5924
P(Y>=3),ADL0115A,Q15외출,-0.9823
P(Y>=3),ADL0117A,Q17금전,-0.2026
P(Y>=3),ADL0105,Q5몸단장,-0.5137
P(Y>=3),ADL0103,Q3화장실,-0.7563
P(Y>=3),ADL0111A,Q11식사준비,-0.2277
P(Y>=3),ADL0116B,Q16b지불,-0.6312
P(Y>=3),ADL0107A,Q7전화,-0.1791
P(Y>=3),(절편),,9.8794
P(Y>=4),ADL0104,Q4목욕,-0.8608
P(Y>=4),ADL0115A,Q15외출,-0.1287
P(Y>=4),ADL0117A,Q17금전,0.0
P(Y>=4),ADL0105,Q5몸단장,-0.7132
P(Y>=4),ADL0103,Q3화장실,-0.8516
P(Y>=4),ADL0111A,Q11식사준비,-0.1826
P(Y>=4),ADL0116B,Q16b지불,-0.516
P(Y>=4),ADL0107A,Q7전화,-0.0389
P(Y>=4),(절편),,5.1684
P(Y>=5),ADL0104,Q4목욕,-0.3261
P(Y>=5),ADL0115A,Q15외출,-0.2867
P(Y>=5),ADL0117A,Q17금전,0.05
P(Y>=5),ADL0105,Q5몸단장,-0.2738
P(Y>=5),ADL0103,Q3화장실,-1.0866
P(Y>=5),ADL0111A,Q11식사준비,0.0091
P(Y>=5),ADL0116B,Q16b지불,-0.0235
P(Y>=5),ADL0107A,Q7전화,0.0
P(Y>=5),(절편),,1.8726
