K,item,label,folds
10,ADL0104,Q4목욕,3/3
10,ADL0103,Q3화장실,3/3
10,ADL0105,Q5몸단장,3/3
10,ADL0117A,Q17금전,3/3
10,ADL0115A,Q15외출,3/3
10,ADL0107A,Q7전화,3/3
10,Q18,Q18혼자,3/3
10,ADL0111A,Q11식사준비,3/3
10,ADL0116B,Q16b지불,3/3
10,ADL0116A,Q16a쇼핑,2/3
8,ADL0104,Q4목욕,3/3
8,ADL0103,Q3화장실,3/3
8,ADL0105,Q5몸단장,3/3
8,ADL0117A,Q17금전,3/3
8,ADL0115A,Q15외출,3/3
8,ADL0107A,Q7전화,3/3
8,ADL0111A,Q11식사준비,2/3
8,ADL0116B,Q16b지불,2/3
8,Q18,Q18혼자,2/3
6,ADL0104,Q4목욕,3/3
6,ADL0103,Q3화장실,3/3
6,ADL0105,Q5몸단장,3/3
6,ADL0117A,Q17금전,3/3
6,ADL0115A,Q15외출,3/3
6,ADL0111A,Q11식사준비,2/3
