cut,item,label,coef_raw
P(Y>=1),ADL0104,목욕,-0.1737
P(Y>=1),ADL0115A,외출,0.0
P(Y>=1),ADL0117A,금전,-0.6612
P(Y>=1),ADL0105,몸단장,-0.1582
P(Y>=1),ADL0103,화장실,0.0
P(Y>=1),ADL0111A,식사준비,-0.3632
P(Y>=1),ADL0116B,지불,-0.5683
P(Y>=1),ADL0107A,전화,-0.1914
P(Y>=1),Q18,혼자,0.0
P(Y>=1),ADL0116A,쇼핑,-0.164
P(Y>=1),ADL0102,걷기,0.0
P(Y>=1),ADL0106B,입기,0.0
P(Y>=1),(절편),,8.8451
P(Y>=2),ADL0104,목욕,-0.5386
P(Y>=2),ADL0115A,외출,-0.154
P(Y>=2),ADL0117A,금전,-0.524
P(Y>=2),ADL0105,몸단장,-0.446
P(Y>=2),ADL0103,화장실,0.0
P(Y>=2),ADL0111A,식사준비,-0.3868
P(Y>=2),ADL0116B,지불,-0.5541
P(Y>=2),ADL0107A,전화,-0.3328
P(Y>=2),Q18,혼자,0.0
P(Y>=2),ADL0116A,쇼핑,-0.2969
P(Y>=2),ADL0102,걷기,0.0
P(Y>=2),ADL0106B,입기,0.0
P(Y>=2),(절편),,10.7036
P(Y>=3),ADL0104,목욕,-0.528
P(Y>=3),ADL0115A,외출,-0.823
P(Y>=3),ADL0117A,금전,-0.1667
P(Y>=3),ADL0105,몸단장,-0.4861
P(Y>=3),ADL0103,화장실,-0.6623
P(Y>=3),ADL0111A,식사준비,-0.1967
P(Y>=3),ADL0116B,지불,-0.3315
P(Y>=3),ADL0107A,전화,-0.1509
P(Y>=3),Q18,혼자,-0.5113
P(Y>=3),ADL0116A,쇼핑,-0.1345
P(Y>=3),ADL0102,걷기,-0.4626
P(Y>=3),ADL0106B,입기,-0.0625
P(Y>=3),(절편),,11.5479
P(Y>=4),ADL0104,목욕,-0.7496
P(Y>=4),ADL0115A,외출,-0.073
P(Y>=4),ADL0117A,금전,0.0
P(Y>=4),ADL0105,몸단장,-0.6603
P(Y>=4),ADL0103,화장실,-0.7794
P(Y>=4),ADL0111A,식사준비,-0.119
P(Y>=4),ADL0116B,지불,-0.4154
P(Y>=4),ADL0107A,전화,0.0
P(Y>=4),Q18,혼자,-0.142
P(Y>=4),ADL0116A,쇼핑,0.0
P(Y>=4),ADL0102,걷기,-0.2301
P(Y>=4),ADL0106B,입기,-0.2147
P(Y>=4),(절편),,5.7353
P(Y>=5),ADL0104,목욕,-0.3314
P(Y>=5),ADL0115A,외출,-0.1937
P(Y>=5),ADL0117A,금전,0.0169
P(Y>=5),ADL0105,몸단장,-0.2387
P(Y>=5),ADL0103,화장실,-1.0252
P(Y>=5),ADL0111A,식사준비,0.0325
P(Y>=5),ADL0116B,지불,0.0
P(Y>=5),ADL0107A,전화,0.0
P(Y>=5),Q18,혼자,-0.0952
P(Y>=5),ADL0116A,쇼핑,0.0
P(Y>=5),ADL0102,걷기,-0.4845
P(Y>=5),ADL0106B,입기,0.0585
P(Y>=5),(절편),,2.7623
