,type,F1,F2,F3,F4
Q1먹기,bADL,-0.095,0.058,-0.137,-0.314
Q2걷기,bADL,-0.113,0.214,-0.092,-0.499
Q3화장실,bADL,-0.187,0.098,-0.131,-0.537
Q4목욕,bADL,-0.344,0.265,-0.269,-0.484
Q5몸단장,bADL,-0.266,0.173,-0.248,-0.538
Q6b입기,bADL,-0.915,0.117,-0.128,-0.13
Q6a고르기,iADL,-0.925,0.142,-0.144,-0.047
Q7전화,iADL,-0.25,0.351,-0.322,-0.137
Q10설거지,iADL,-0.254,0.14,-0.452,-0.222
Q11식사준비,iADL,-0.23,0.203,-0.228,-0.203
Q12집안일,iADL,-0.263,0.196,-0.653,-0.111
Q13빨래,iADL,-0.325,0.307,-0.598,-0.071
Q14가전,iADL,-0.188,0.185,-0.355,-0.232
Q15외출,iADL,-0.099,0.553,-0.172,-0.312
Q16a쇼핑,iADL,-0.22,0.764,-0.179,-0.113
Q16b지불,iADL,-0.159,0.823,-0.148,-0.054
Q17금전,iADL,-0.192,0.336,-0.225,-0.081
Q18혼자,iADL,-0.087,0.373,-0.256,-0.174
Q21글쓰기,iADL,-0.116,0.304,-0.212,-0.128
Q22취미,iADL,-0.1,0.176,-0.198,-0.178
Q23가전사용,iADL,-0.221,0.248,-0.632,-0.201
