,type,PC1,PC2,PC3
Q1먹기,bADL,0.12,0.156,0.325
Q2걷기,bADL,0.173,0.02,0.467
Q3화장실,bADL,0.178,0.207,0.437
Q4목욕,bADL,0.262,0.149,0.15
Q5몸단장,bADL,0.231,0.19,0.279
Q6b입기,bADL,0.246,0.381,-0.295
Q6a고르기,iADL,0.245,0.358,-0.356
Q7전화,iADL,0.228,-0.115,-0.141
Q10설거지,iADL,0.222,0.176,-0.006
Q11식사준비,iADL,0.187,0.011,-0.025
Q12집안일,iADL,0.249,0.091,-0.128
Q13빨래,iADL,0.267,0.045,-0.205
Q14가전,iADL,0.201,0.076,0.083
Q15외출,iADL,0.232,-0.351,0.17
Q16a쇼핑,iADL,0.26,-0.299,-0.065
Q16b지불,iADL,0.243,-0.375,-0.078
Q17금전,iADL,0.189,-0.205,-0.187
Q18혼자,iADL,0.192,-0.297,0.042
Q21글쓰기,iADL,0.172,-0.222,-0.03
Q22취미,iADL,0.142,-0.079,0.076
Q23가전사용,iADL,0.262,0.029,-0.056
