,code,P(Y>=1),P(Y>=2),P(Y>=3),P(Y>=4),P(Y>=5)
Q1 먹기,ADL0101,-0.19008989254088435,0.0,-0.2831189949879252,0.10897156367385495,0.34490811060770893
Q2 걷기,ADL0102,0.0,0.0,-0.4857723433900127,-0.23841599032807553,-0.5413321134503568
Q3 화장실,ADL0103,0.0,0.0,-0.6292293278855655,-0.7735268830367423,-1.1038319529455811
Q4 목욕,ADL0104,-0.1688622232818738,-0.5184134405615387,-0.5024429477739026,-0.7407614589508916,-0.39487911930749564
Q5 몸단장,ADL0105,-0.1445167813802076,-0.43160899430522814,-0.4742899872169013,-0.6326226796338731,-0.278551611483001
Q6b 옷입기,ADL0106B,0.0,0.0,0.0,-0.2020425111385181,0.03573362540917318
Q6a 옷고르기,ADL0106A,0.0,-0.015310728139487223,-0.12602602153059314,0.0,0.0
Q7 전화,ADL0107A,-0.17823567190064435,-0.32202377146856515,-0.13833670707846948,0.0,0.0
Q10 설거지,ADL0110A,0.0,0.0,0.07630159573406706,0.04944825440223204,0.1815836971548486
Q11 식사준비,ADL0111A,-0.3526660057107739,-0.3822113137126325,-0.1898449878875839,-0.10196317365176943,0.0
Q12 집안일,ADL0112A,0.0,0.0,0.06515893883135522,0.0,0.0
Q13 빨래,ADL0113A,0.0,-0.05968611175123169,-0.00724708597327062,-0.027576417101656432,0.0
Q14 가전,ADL0114A,0.0,0.0,-0.04230498493658479,-0.05974488588356587,0.10116333963046689
Q15 외출,ADL0115A,0.0,-0.1554462614085246,-0.8220433819992242,-0.05291182695858643,-0.19402494616308907
Q16a 쇼핑,ADL0116A,-0.15626952829163218,-0.2799396371231047,-0.11815238816432021,0.0,0.0
Q16b 지불,ADL0116B,-0.5492710976369778,-0.537694889618957,-0.33625506870601535,-0.367977439826679,0.0
Q17 금전,ADL0117A,-0.6464205707413984,-0.5159457016161678,-0.15707519021745786,0.0,0.006524142876422979
Q18 혼자있기,Q18,0.0,0.0,-0.516643113210598,-0.1280206948160024,-0.11517453247313848
Q21 글쓰기,ADL0121A,-0.1526703204074569,0.0,-0.014475989608626321,-0.020677463243495908,0.0
Q22 취미,ADL0122Q,0.04766643670169983,0.0,-0.0052439074292575175,-0.05222351233206151,0.0322504593899138
Q23 가전사용,ADL0123L,0.0,0.0,-0.06678826699686377,-0.04605149160413374,-0.03763274259282353
