cutpoint,item_code,item_label,ridge_coef_raw,ridge_coef_standardized
P(Y>=1),ADL0103,Q3화장실,-0.6125,-0.2614
P(Y>=1),ADL0104,Q4목욕,-1.4067,-1.068
P(Y>=1),ADL0105,Q5몸단장,-1.427,-0.932
P(Y>=1),ADL0106A,Q6a옷고르기,-0.2913,-0.3102
P(Y>=1),ADL0115A,Q15외출,-0.1145,-0.127
P(Y>=1),ADL0116A,Q16a쇼핑,-0.6906,-0.8267
P(Y>=1),ADL0107A,Q7전화,-0.4251,-0.5908
P(Y>=1),(intercept),(절편),18.5542,6.0406
P(Y>=2),ADL0103,Q3화장실,0.2007,0.0856
P(Y>=2),ADL0104,Q4목욕,-1.6221,-1.2315
P(Y>=2),ADL0105,Q5몸단장,-1.1302,-0.7382
P(Y>=2),ADL0106A,Q6a옷고르기,-0.2279,-0.2426
P(Y>=2),ADL0115A,Q15외출,-0.3235,-0.3587
P(Y>=2),ADL0116A,Q16a쇼핑,-0.6649,-0.7959
P(Y>=2),ADL0107A,Q7전화,-0.4611,-0.6408
P(Y>=2),(intercept),(절편),15.3714,4.9533
P(Y>=3),ADL0103,Q3화장실,-0.947,-0.4041
P(Y>=3),ADL0104,Q4목욕,-0.5963,-0.4527
P(Y>=3),ADL0105,Q5몸단장,-0.5409,-0.3533
P(Y>=3),ADL0106A,Q6a옷고르기,-0.1555,-0.1656
P(Y>=3),ADL0115A,Q15외출,-1.08,-1.1976
P(Y>=3),ADL0116A,Q16a쇼핑,-0.2962,-0.3545
P(Y>=3),ADL0107A,Q7전화,-0.2162,-0.3004
P(Y>=3),(intercept),(절편),10.7059,0.452
P(Y>=4),ADL0103,Q3화장실,-0.903,-0.3853
P(Y>=4),ADL0104,Q4목욕,-0.8011,-0.6082
P(Y>=4),ADL0105,Q5몸단장,-0.7259,-0.4741
P(Y>=4),ADL0106A,Q6a옷고르기,-0.2859,-0.3044
P(Y>=4),ADL0115A,Q15외출,-0.2077,-0.2303
P(Y>=4),ADL0116A,Q16a쇼핑,-0.1191,-0.1425
P(Y>=4),ADL0107A,Q7전화,-0.0317,-0.044
P(Y>=4),(intercept),(절편),5.6184,-2.5038
P(Y>=5),ADL0103,Q3화장실,-1.1319,-0.483
P(Y>=5),ADL0104,Q4목욕,-0.4253,-0.3228
P(Y>=5),ADL0105,Q5몸단장,-0.3292,-0.215
P(Y>=5),ADL0106A,Q6a옷고르기,0.1839,0.1958
P(Y>=5),ADL0115A,Q15외출,-0.3333,-0.3696
P(Y>=5),ADL0116A,Q16a쇼핑,-0.0019,-0.0023
P(Y>=5),ADL0107A,Q7전화,0.0185,0.0257
P(Y>=5),(intercept),(절편),2.0909,-3.6205
