predicted_stage,n,observed_mean_stage,exact_match_rate,held_out_STUDYID
1,0,,,AD-1061
2,335,2.1701492537313434,0.7194029850746269,AD-1061
3,277,2.888086642599278,0.6101083032490975,AD-1061
4,54,3.685185185185185,0.5,AD-1061
5,2,5.0,1.0,AD-1061
1,0,,,AD-1063
2,408,2.1544117647058822,0.7377450980392157,AD-1063
3,385,3.020779220779221,0.6597402597402597,AD-1063
4,41,3.7560975609756095,0.4878048780487805,AD-1063
5,1,5.0,1.0,AD-1063
1,0,,,AD-1064
2,324,2.212962962962963,0.6882716049382716,AD-1064
3,334,3.086826347305389,0.6077844311377245,AD-1064
4,45,4.177777777777778,0.5111111111111111,AD-1064
5,2,5.0,1.0,AD-1064
