min_samples_leaf,max_features,sample_fraction,inner_cv_MAE,inner_cv_kappa,held_out_STUDYID
5,0.33,0.3,0.38831168831168833,0.5839832035126777,AD-1061
5,0.33,0.5,0.38831168831168833,0.5839832035126777,AD-1061
5,0.33,0.7,0.38831168831168833,0.5839832035126777,AD-1061
10,,0.3,0.388961038961039,0.5637669908122677,AD-1061
10,,0.5,0.388961038961039,0.5637669908122677,AD-1061
10,,0.7,0.388961038961039,0.5637669908122677,AD-1061
5,,0.7,0.39025974025974025,0.5758658828838394,AD-1061
5,,0.3,0.39025974025974025,0.5758658828838394,AD-1061
5,,0.5,0.39025974025974025,0.5758658828838394,AD-1061
10,0.33,0.5,0.39350649350649347,0.5659685964095269,AD-1061
10,0.33,0.7,0.39350649350649347,0.5659685964095269,AD-1061
10,0.33,0.3,0.39350649350649347,0.5659685964095269,AD-1061
20,0.33,0.7,0.39350649350649347,0.554177108195617,AD-1061
20,0.33,0.3,0.39350649350649347,0.554177108195617,AD-1061
20,0.33,0.5,0.39350649350649347,0.554177108195617,AD-1061
40,0.33,0.3,0.3935064935064935,0.5378284789232235,AD-1061
40,0.33,0.5,0.3935064935064935,0.5378284789232235,AD-1061
40,0.33,0.7,0.3935064935064935,0.5378284789232235,AD-1061
10,0.66,0.7,0.39675324675324675,0.5741165983748656,AD-1061
10,0.66,0.5,0.39675324675324675,0.5741165983748656,AD-1061
10,0.66,0.3,0.39675324675324675,0.5741165983748656,AD-1061
20,,0.7,0.39740259740259737,0.5469826074887438,AD-1061
20,,0.3,0.39740259740259737,0.5469826074887438,AD-1061
20,,0.5,0.39740259740259737,0.5469826074887438,AD-1061
5,0.66,0.7,0.3980519480519481,0.5824678295326322,AD-1061
5,0.66,0.5,0.3980519480519481,0.5824678295326322,AD-1061
5,0.66,0.3,0.3980519480519481,0.5824678295326322,AD-1061
40,,0.3,0.40064935064935064,0.5215669400322979,AD-1061
40,,0.5,0.40064935064935064,0.5215669400322979,AD-1061
40,,0.7,0.40064935064935064,0.5215669400322979,AD-1061
20,0.66,0.3,0.4025974025974025,0.5504976305970937,AD-1061
20,0.66,0.7,0.4025974025974025,0.5504976305970937,AD-1061
20,0.66,0.5,0.4025974025974025,0.5504976305970937,AD-1061
40,0.66,0.3,0.40649350649350646,0.5421506462858282,AD-1061
40,0.66,0.5,0.40649350649350646,0.5421506462858282,AD-1061
40,0.66,0.7,0.40649350649350646,0.5421506462858282,AD-1061
5,,0.3,0.3954771068347711,0.5678252802009621,AD-1063
5,,0.5,0.3954771068347711,0.5678252802009621,AD-1063
5,,0.7,0.3954771068347711,0.5678252802009621,AD-1063
5,0.33,0.3,0.3954824153948241,0.5762107394813418,AD-1063
5,0.33,0.5,0.3954824153948241,0.5762107394813418,AD-1063
5,0.33,0.7,0.3954824153948241,0.5762107394813418,AD-1063
5,0.66,0.3,0.39693430656934303,0.5818308114474556,AD-1063
5,0.66,0.5,0.39693430656934303,0.5818308114474556,AD-1063
5,0.66,0.7,0.39693430656934303,0.5818308114474556,AD-1063
10,0.66,0.3,0.3976695421366955,0.5687551670581023,AD-1063
10,0.66,0.7,0.3976695421366955,0.5687551670581023,AD-1063
10,0.66,0.5,0.3976695421366955,0.5687551670581023,AD-1063
10,0.33,0.7,0.40058925016589253,0.553793436309974,AD-1063
10,0.33,0.5,0.40058925016589253,0.553793436309974,AD-1063
10,0.33,0.3,0.40058925016589253,0.553793436309974,AD-1063
40,0.66,0.3,0.4042282680822827,0.5528378707315831,AD-1063
40,0.66,0.5,0.4042282680822827,0.5528378707315831,AD-1063
40,0.66,0.7,0.4042282680822827,0.5528378707315831,AD-1063
40,0.33,0.3,0.4049475779694758,0.5290092041792754,AD-1063
40,0.33,0.5,0.4049475779694758,0.5290092041792754,AD-1063
40,0.33,0.7,0.4049475779694758,0.5290092041792754,AD-1063
10,,0.5,0.4049555408095554,0.5437329356877221,AD-1063
10,,0.7,0.4049555408095554,0.5437329356877221,AD-1063
10,,0.3,0.4049555408095554,0.5437329356877221,AD-1063
20,0.66,0.5,0.40714001327140015,0.5522250266764944,AD-1063
20,0.66,0.3,0.40714001327140015,0.5522250266764944,AD-1063
20,0.66,0.7,0.40714001327140015,0.5522250266764944,AD-1063
20,,0.3,0.40859986728599873,0.5333279314926345,AD-1063
20,,0.5,0.40859986728599873,0.5333279314926345,AD-1063
20,,0.7,0.40859986728599873,0.5333279314926345,AD-1063
20,0.33,0.3,0.4100570670205707,0.5379500383968567,AD-1063
20,0.33,0.5,0.4100570670205707,0.5379500383968567,AD-1063
20,0.33,0.7,0.4100570670205707,0.5379500383968567,AD-1063
40,,0.5,0.4129741207697412,0.5096246444840823,AD-1063
40,,0.3,0.4129741207697412,0.5096246444840823,AD-1063
40,,0.7,0.4129741207697412,0.5096246444840823,AD-1063
5,0.33,0.3,0.3579446290143964,0.5791743751009187,AD-1064
5,0.33,0.5,0.3579446290143964,0.5791743751009187,AD-1064
5,0.33,0.7,0.3579446290143964,0.5791743751009187,AD-1064
5,,0.3,0.3592779623477298,0.5699479142697234,AD-1064
5,,0.7,0.3592779623477298,0.5699479142697234,AD-1064
5,,0.5,0.3592779623477298,0.5699479142697234,AD-1064
10,0.66,0.3,0.35994019933554816,0.5734798607735195,AD-1064
10,0.66,0.5,0.35994019933554816,0.5734798607735195,AD-1064
10,0.66,0.7,0.35994019933554816,0.5734798607735195,AD-1064
20,,0.3,0.35995570321151715,0.5491635645569788,AD-1064
20,,0.5,0.35995570321151715,0.5491635645569788,AD-1064
20,,0.7,0.35995570321151715,0.5491635645569788,AD-1064
10,,0.7,0.36061572535991143,0.5584861743117282,AD-1064
10,,0.5,0.36061572535991143,0.5584861743117282,AD-1064
10,,0.3,0.36061572535991143,0.5584861743117282,AD-1064
10,0.33,0.5,0.361280177187154,0.5620321356901036,AD-1064
10,0.33,0.3,0.361280177187154,0.5620321356901036,AD-1064
10,0.33,0.7,0.361280177187154,0.5620321356901036,AD-1064
5,0.66,0.3,0.3639313399778516,0.5773624490991749,AD-1064
5,0.66,0.5,0.3639313399778516,0.5773624490991749,AD-1064
5,0.66,0.7,0.3639313399778516,0.5773624490991749,AD-1064
40,0.33,0.3,0.3646157253599114,0.5279870625804615,AD-1064
40,0.33,0.5,0.3646157253599114,0.5279870625804615,AD-1064
40,0.33,0.7,0.3646157253599114,0.5279870625804615,AD-1064
20,0.33,0.7,0.36594241417497225,0.5463346009842989,AD-1064
20,0.33,0.5,0.36594241417497225,0.5463346009842989,AD-1064
20,0.33,0.3,0.36594241417497225,0.5463346009842989,AD-1064
40,0.66,0.3,0.3665957918050941,0.548521519127048,AD-1064
40,0.66,0.7,0.3665957918050941,0.548521519127048,AD-1064
40,0.66,0.5,0.3665957918050941,0.548521519127048,AD-1064
20,0.66,0.3,0.3665980066445183,0.5585371327293942,AD-1064
20,0.66,0.5,0.3665980066445183,0.5585371327293942,AD-1064
20,0.66,0.7,0.3665980066445183,0.5585371327293942,AD-1064
40,,0.5,0.37393798449612403,0.5123237907291343,AD-1064
40,,0.3,0.37393798449612403,0.5123237907291343,AD-1064
40,,0.7,0.37393798449612403,0.5123237907291343,AD-1064
