predicted_stage,n,observed_mean_stage,exact_match_rate,held_out_STUDYID
1,0,,,AD-1061
2,335,2.1701492537313434,0.7194029850746269,AD-1061
3,283,2.904593639575972,0.6042402826855123,AD-1061
4,48,3.6875,0.4791666666666667,AD-1061
5,2,5.0,1.0,AD-1061
1,0,,,AD-1063
2,408,2.1544117647058822,0.7377450980392157,AD-1063
3,385,3.020779220779221,0.6597402597402597,AD-1063
4,41,3.7560975609756095,0.4878048780487805,AD-1063
5,1,5.0,1.0,AD-1063
1,0,,,AD-1064
2,322,2.217391304347826,0.6832298136645962,AD-1064
3,340,3.0823529411764707,0.6,AD-1064
4,42,4.261904761904762,0.5,AD-1064
5,1,5.0,1.0,AD-1064
