predicted_stage,n,observed_mean_stage,exact_match_rate,held_out_STUDYID
1,0,,,AD-1061
2,333,2.165165165165165,0.7237237237237237,AD-1061
3,284,2.8943661971830985,0.6091549295774648,AD-1061
4,49,3.7346938775510203,0.5102040816326531,AD-1061
5,2,5.0,1.0,AD-1061
1,0,,,AD-1063
2,408,2.1519607843137254,0.7401960784313726,AD-1063
3,386,3.023316062176166,0.6632124352331606,AD-1063
4,40,3.775,0.5,AD-1063
5,1,5.0,1.0,AD-1063
1,0,,,AD-1064
2,320,2.209375,0.690625,AD-1064
3,342,3.084795321637427,0.6052631578947368,AD-1064
4,42,4.261904761904762,0.5,AD-1064
5,1,5.0,1.0,AD-1064
