item,value,expected_stage_mean,expected_stage_se
ADL0115A,0.0,2.840863338948967,0.023063753123990793
ADL0115A,2.0,2.838430680737502,0.02277453393732033
ADL0115A,3.0,2.6113924421858217,0.026538425018840333
ADL0115A,4.0,2.487510874395908,0.026589067790262166
ADL0105,0.0,2.826205420647358,0.029487752636527594
ADL0105,2.0,2.7258224780215445,0.02714720527690201
ADL0105,3.0,2.6025493058713804,0.028825235457439518
ADL0104,0.0,3.0226450444105635,0.023743597005177842
ADL0104,1.0,2.937919590980191,0.02321432580799537
ADL0104,2.0,2.688951985037779,0.025310140273496408
ADL0104,3.0,2.5771146907966482,0.02777918321038824
ADL0116A,0.0,2.694682948526686,0.027555361864045558
ADL0116A,1.0,2.6904743135646965,0.027917483247957134
ADL0116A,2.0,2.674603825305066,0.028249780431731604
ADL0116A,3.0,2.558098193731775,0.0288770829079304
ADL0113A,0.0,2.6563235001991266,0.030199389292002145
ADL0113A,2.0,2.624825285866378,0.029919933752143166
ADL0113A,3.0,2.621925285074452,0.02972125855695027
ADL0113A,4.0,2.616205789285177,0.029862404852813964
