item,importance_mae_increase_mean,importance_mae_increase_std
ADL0115A,0.12058823529411762,0.015279451588147556
ADL0105,0.025791855203619884,0.008138509388509027
ADL0104,0.018325791855203593,0.006191824517377385
ADL0116A,0.010633484162895904,0.005262309207969687
ADL0113A,0.009162895927601777,0.002990792775204126
ADL0106A,0.008031674208144764,0.0036110610179892187
ADL0116B,0.007918552036199067,0.0029929313473581235
ADL0107A,0.0063348416289592535,0.003892454871964976
ADL0103,0.005995475113122151,0.002178886909983954
ADL0118A,0.005656108597285043,0.007486602763698777
ADL0106B,0.005542986425339344,0.00532876276620537
ADL0123L,0.005542986425339344,0.007242469820139869
ADL0121A,0.005090497737556543,0.0030248284970861745
ADL0110A,0.0049773755656108394,0.0025395864616112713
ADL0122Q,0.004072398190045226,0.004268769743012036
ADL0111A,0.0038461538461538242,0.0058167240417115115
ADL0102,0.0033936651583710287,0.002205157091585731
ADL0117A,0.0033936651583710204,0.0038194441212973137
ADL0112A,0.0020361990950226146,0.0023620602961336055
ADL0118C,0.0015837104072398106,0.0019063687269629758
ADL0114A,-0.00022624434389141855,0.0029411764705882474
ADL0101,-0.0015837104072398468,0.002383632070781177
ADL0118B,-0.002601809954751158,0.005868195633186857
