item,VIF,flag
ADL0106A,5.071399604458955,mid
ADL0106B,5.025163575201889,mid
ADL0116A,2.3543645501316792,low
ADL0116B,2.2930779759826234,low
ADL0113A,1.9396011170693246,low
ADL0123L,1.864629288372301,low
ADL0104,1.8091042543790368,low
ADL0112A,1.7894869366908321,low
ADL0115A,1.7566711415934855,low
ADL0105,1.6026800576551137,low
ADL0110A,1.4816840429494136,low
ADL0107A,1.451033410780629,low
ADL0102,1.3659356573451287,low
ADL0103,1.3582101854271356,low
Q18,1.3581864120336864,low
ADL0114A,1.349721556336413,low
ADL0117A,1.3242064215654132,low
ADL0111A,1.2615582952783184,low
ADL0121A,1.2429287084110643,low
ADL0122Q,1.1500723149644012,low
ADL0101,1.1362338400510068,low
