held_out_trial,cutpoint,item,coef
AD-1061,P(Y>=1),ADL0101,0.0
AD-1061,P(Y>=1),ADL0102,0.0
AD-1061,P(Y>=1),ADL0103,0.0
AD-1061,P(Y>=1),ADL0104,-0.10027246107453759
AD-1061,P(Y>=1),ADL0105,-0.04345444364870617
AD-1061,P(Y>=1),ADL0106B,0.0
AD-1061,P(Y>=1),ADL0106A,0.0
AD-1061,P(Y>=1),ADL0107A,-0.21406863769855367
AD-1061,P(Y>=1),ADL0110A,0.0
AD-1061,P(Y>=1),ADL0111A,-0.4830261678308501
AD-1061,P(Y>=1),ADL0112A,0.0
AD-1061,P(Y>=1),ADL0113A,0.0
AD-1061,P(Y>=1),ADL0114A,0.0
AD-1061,P(Y>=1),ADL0115A,0.0
AD-1061,P(Y>=1),ADL0116A,-0.05847537258802165
AD-1061,P(Y>=1),ADL0116B,-0.2113098382440883
AD-1061,P(Y>=1),ADL0117A,-0.5562370502110716
AD-1061,P(Y>=1),Q18,0.0
AD-1061,P(Y>=1),ADL0121A,-0.28147904389089073
AD-1061,P(Y>=1),ADL0122Q,0.10244512518219694
AD-1061,P(Y>=1),ADL0123L,0.0
AD-1061,P(Y>=2),ADL0101,0.0
AD-1061,P(Y>=2),ADL0102,0.0
AD-1061,P(Y>=2),ADL0103,0.0
AD-1061,P(Y>=2),ADL0104,-0.31243954004548297
AD-1061,P(Y>=2),ADL0105,-0.16928246700594046
AD-1061,P(Y>=2),ADL0106B,0.0
AD-1061,P(Y>=2),ADL0106A,0.0
AD-1061,P(Y>=2),ADL0107A,-0.44093083642780617
AD-1061,P(Y>=2),ADL0110A,0.0
AD-1061,P(Y>=2),ADL0111A,-0.4351604812044174
AD-1061,P(Y>=2),ADL0112A,0.0
AD-1061,P(Y>=2),ADL0113A,0.0
AD-1061,P(Y>=2),ADL0114A,-0.01564606870418342
AD-1061,P(Y>=2),ADL0115A,-0.11237181017209605
AD-1061,P(Y>=2),ADL0116A,-0.29702630701319216
