k,outer_fold,n_items,items_code,items_label
5,AD-1061,5,"ADL0104,ADL0105,Q6,ADL0116B,ADL0122Q","Q4목욕,Q5몸단장,Q6옷챙겨입기(6a+6b합산),Q16b지불,Q22취미"
6,AD-1061,6,"ADL0103,ADL0104,ADL0105,Q6,ADL0115A,ADL0123L","Q3화장실,Q4목욕,Q5몸단장,Q6옷챙겨입기(6a+6b합산),Q15외출,Q23가전사용"
7,AD-1061,7,"ADL0101,ADL0103,ADL0104,Q6,ADL0107A,ADL0116A,ADL0116B","Q1먹기,Q3화장실,Q4목욕,Q6옷챙겨입기(6a+6b합산),Q7전화,Q16a쇼핑,Q16b지불"
8,AD-1061,8,"ADL0101,ADL0102,ADL0103,ADL0104,ADL0113A,ADL0114A,ADL0115A,ADL0123L","Q1먹기,Q2걷기,Q3화장실,Q4목욕,Q13빨래,Q14가전,Q15외출,Q23가전사용"
9,AD-1061,9,"ADL0103,ADL0104,ADL0111A,ADL0113A,ADL0114A,ADL0115A,ADL0116B,Q18,ADL0121A","Q3화장실,Q4목욕,Q11식사준비,Q13빨래,Q14가전,Q15외출,Q16b지불,Q18혼자있기,Q21글쓰기"
10,AD-1061,10,"ADL0103,ADL0104,Q6,ADL0107A,ADL0112A,ADL0115A,ADL0116B,ADL0117A,Q18,ADL0121A","Q3화장실,Q4목욕,Q6옷챙겨입기(6a+6b합산),Q7전화,Q12집안일,Q15외출,Q16b지불,Q17금전,Q18혼자있기,Q21글쓰기"
11,AD-1061,11,"ADL0102,ADL0103,ADL0104,ADL0105,Q6,ADL0111A,ADL0113A,ADL0114A,ADL0115A,ADL0116B,ADL0122Q","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6옷챙겨입기(6a+6b합산),Q11식사준비,Q13빨래,Q14가전,Q15외출,Q16b지불,Q22취미"
12,AD-1061,12,"ADL0102,ADL0103,ADL0104,ADL0105,Q6,ADL0111A,ADL0112A,ADL0113A,ADL0114A,ADL0115A,ADL0116B,ADL0117A","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6옷챙겨입기(6a+6b합산),Q11식사준비,Q12집안일,Q13빨래,Q14가전,Q15외출,Q16b지불,Q17금전"
5,AD-1063,5,"ADL0104,ADL0105,ADL0111A,ADL0114A,ADL0115A","Q4목욕,Q5몸단장,Q11식사준비,Q14가전,Q15외출"
6,AD-1063,6,"ADL0103,ADL0104,ADL0113A,ADL0115A,Q18,ADL0122Q","Q3화장실,Q4목욕,Q13빨래,Q15외출,Q18혼자있기,Q22취미"
