item,coef_P(Y>=1),coef_P(Y>=2),coef_P(Y>=3),coef_P(Y>=4),coef_P(Y>=5)
ADL0101,-0.759,0.137,-0.312,0.226,0.487
ADL0103,-0.119,0.192,-0.747,-0.875,-1.178
ADL0104,-0.441,-0.671,-0.559,-0.767,-0.332
ADL0105,-0.448,-0.593,-0.517,-0.69,-0.405
ADL0106A,-0.172,-0.132,-0.12,-0.226,0.104
ADL0107A,-0.313,-0.378,-0.175,-0.015,-0.006
ADL0111A,-0.546,-0.473,-0.217,-0.138,0.039
ADL0113A,0.007,-0.121,-0.015,-0.051,0.008
ADL0114A,0.132,-0.049,-0.049,-0.068,0.15
ADL0115A,-0.123,-0.283,-0.886,-0.134,-0.268
ADL0116A,-0.369,-0.426,-0.246,-0.088,-0.051
Q18,-0.147,-0.086,-0.52,-0.144,-0.171
(절편),13.421,11.2,11.84,5.148,0.86
