item,coef_P(Y>=1),coef_P(Y>=2),coef_P(Y>=3),coef_P(Y>=4),coef_P(Y>=5)
ADL0101,-0.741,0.123,-0.308,0.219,0.524
ADL0103,-0.007,0.2,-0.701,-0.857,-1.173
ADL0104,-0.396,-0.663,-0.537,-0.784,-0.4
ADL0105,-0.401,-0.594,-0.486,-0.678,-0.391
ADL0106A,-0.152,-0.13,-0.133,-0.221,0.122
ADL0107A,-0.317,-0.377,-0.171,-0.001,-0.003
ADL0111A,-0.568,-0.482,-0.225,-0.127,0.051
ADL0113A,0.014,-0.122,-0.018,-0.061,-0.007
ADL0114A,0.153,-0.05,-0.043,-0.072,0.165
ADL0115A,-0.124,-0.287,-0.892,-0.141,-0.278
ADL0116A,-0.379,-0.428,-0.227,-0.087,-0.039
Q18,-0.143,-0.091,-0.535,-0.152,-0.152
(절편),12.73,11.259,11.575,5.12,0.763
