cutpoint,item_code,item_label,ridge_coef_raw,ridge_coef_standardized,unpenalized_coef_standardized,p_value,significant_p<.05,note
P(Y>=1),ADL0103,Q3화장실,-0.0368,-0.0157,,,False,완전분리로 불안정(참고용)
P(Y>=1),ADL0104,Q4목욕,-0.4389,-0.3334,,,False,완전분리로 불안정(참고용)
P(Y>=1),ADL0105,Q5몸단장,-0.4108,-0.2684,,,False,완전분리로 불안정(참고용)
P(Y>=1),ADL0106A,Q6a옷고르기,-0.1684,-0.1794,,,False,완전분리로 불안정(참고용)
P(Y>=1),ADL0115A,Q15외출,-0.1072,-0.1189,,,False,완전분리로 불안정(참고용)
P(Y>=1),ADL0116A,Q16a쇼핑,-0.3199,-0.3829,,,False,완전분리로 불안정(참고용)
P(Y>=1),ADL0102,Q2걷기,-0.1217,-0.0461,,,False,완전분리로 불안정(참고용)
P(Y>=1),ADL0106B,Q6b옷입기,-0.0037,-0.0053,,,False,완전분리로 불안정(참고용)
P(Y>=1),ADL0107A,Q7전화,-0.3354,-0.4658,,,False,완전분리로 불안정(참고용)
P(Y>=1),ADL0116B,Q16b지불,-0.8236,-0.4118,,,False,완전분리로 불안정(참고용)
P(Y>=1),ADL0122Q,Q22취미,0.1453,0.1955,,,False,완전분리로 불안정(참고용)
P(Y>=1),(intercept),(절편),10.0937,5.1182,,,False,
P(Y>=2),ADL0103,Q3화장실,0.1657,0.0708,0.1155,0.5989,False,
P(Y>=2),ADL0104,Q4목욕,-0.7171,-0.5447,-1.71,0.0245,True,
P(Y>=2),ADL0105,Q5몸단장,-0.5862,-0.383,-0.8443,0.0682,False,
P(Y>=2),ADL0106A,Q6a옷고르기,-0.2145,-0.2285,-0.6208,0.1271,False,
P(Y>=2),ADL0115A,Q15외출,-0.2594,-0.2878,-0.3046,0.118,False,
P(Y>=2),ADL0116A,Q16a쇼핑,-0.4074,-0.4875,-0.6517,0.0183,True,
P(Y>=2),ADL0102,Q2걷기,0.2104,0.0796,0.1615,0.5611,False,
P(Y>=2),ADL0106B,Q6b옷입기,0.0438,0.0631,0.513,0.2302,False,
P(Y>=2),ADL0107A,Q7전화,-0.3955,-0.5493,-0.633,0.0001,True,
P(Y>=2),ADL0116B,Q16b지불,-0.7292,-0.3646,-0.3347,0.1299,False,
P(Y>=2),ADL0122Q,Q22취미,-0.0273,-0.0368,-0.0093,0.9426,False,
P(Y>=2),(intercept),(절편),9.8691,4.2755,5.3103,0.0,True,
P(Y>=3),ADL0103,Q3화장실,-0.8147,-0.3479,-0.3842,0.0015,True,
P(Y>=3),ADL0104,Q4목욕,-0.5698,-0.4328,-0.4481,0.0,True,
P(Y>=3),ADL0105,Q5몸단장,-0.5185,-0.3387,-0.3545,0.0,True,
P(Y>=3),ADL0106A,Q6a옷고르기,-0.1723,-0.1836,-0.2413,0.061,False,
P(Y>=3),ADL0115A,Q15외출,-0.9565,-1.0612,-1.1176,0.0,True,
P(Y>=3),ADL0116A,Q16a쇼핑,-0.1782,-0.2133,-0.2099,0.0092,True,
