variant,n_items,n_common_across_3fold,common_items_label
unmerged,5,3,"Q3화장실,Q4목욕,Q15외출"
unmerged,6,2,"Q4목욕,Q15외출"
unmerged,7,3,"Q3화장실,Q4목욕,Q15외출"
unmerged,8,3,"Q3화장실,Q4목욕,Q15외출"
unmerged,9,4,"Q3화장실,Q4목욕,Q5몸단장,Q15외출"
unmerged,10,4,"Q3화장실,Q4목욕,Q15외출,Q22취미"
unmerged,11,6,"Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q15외출,Q23가전사용"
unmerged,12,6,"Q3화장실,Q4목욕,Q5몸단장,Q15외출,Q16b지불,Q18혼자있기"
unmerged,13,6,"Q3화장실,Q4목욕,Q12집안일,Q15외출,Q18혼자있기,Q23가전사용"
unmerged,14,8,"Q3화장실,Q4목욕,Q5몸단장,Q14가전,Q15외출,Q18혼자있기,Q22취미,Q23가전사용"
unmerged,15,8,"Q3화장실,Q4목욕,Q5몸단장,Q10설거지,Q15외출,Q18혼자있기,Q22취미,Q23가전사용"
unmerged,16,9,"Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6b옷입기,Q11식사준비,Q15외출,Q18혼자있기,Q21글쓰기"
unmerged,17,11,"Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q7전화,Q10설거지,Q11식사준비,Q15외출,Q17금전,Q18혼자있기,Q22취미"
unmerged,18,14,"Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q10설거지,Q11식사준비,Q12집안일,Q15외출,Q17금전,Q18혼자있기,Q22취미,Q23가전사용"
