penalty,n_items,items_code,items_label,mae,hi_missed_pct,kappa,mae_vs_a1,a1_mae_ref,a0_miss_pct_ref,champion
EN,7,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0112A,ADL0115A,ADL0116A","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q12집안일,Q15외출,Q16a쇼핑",0.5384,18.09,0.5585,0.0504,0.5887,17.75,True
L2,7,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0113A,ADL0115A,ADL0116A","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q13빨래,Q15외출,Q16a쇼핑",0.5306,18.09,0.5646,0.0581,0.5887,17.75,True
EN,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0113A,ADL0115A,ADL0116A,ADL0123L","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q13빨래,Q15외출,Q16a쇼핑,Q23가전사용",0.5338,17.41,0.5602,0.0549,0.5887,17.75,True
L2,8,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0115A,ADL0116A,ADL0123L","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q15외출,Q16a쇼핑,Q23가전사용",0.5184,17.41,0.5733,0.0704,0.5887,17.75,True
EN,9,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0115A,ADL0116A,ADL0122Q,ADL0123L","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q15외출,Q16a쇼핑,Q22취미,Q23가전사용",0.5197,17.06,0.5747,0.069,0.5887,17.75,True
L2,9,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0115A,ADL0116A,ADL0122Q,ADL0123L","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q15외출,Q16a쇼핑,Q22취미,Q23가전사용",0.5143,17.41,0.5776,0.0744,0.5887,17.75,True
EN,10,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0115A,ADL0116A,ADL0122Q,ADL0123L","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q15외출,Q16a쇼핑,Q22취미,Q23가전사용",0.5143,17.06,0.5785,0.0744,0.5887,17.75,True
L2,10,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0115A,ADL0116A,ADL0122Q,ADL0123L","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q15외출,Q16a쇼핑,Q22취미,Q23가전사용",0.5084,16.72,0.5816,0.0803,0.5887,17.75,True
EN,11,"ADL0101,ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0115A,ADL0116A,Q18,ADL0123L","Q1먹기,Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q15외출,Q16a쇼핑,Q18혼자있기,Q23가전사용",0.5107,17.75,0.581,0.0781,0.5887,17.75,True
L2,11,"ADL0101,ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0115A,ADL0116A,Q18,ADL0123L","Q1먹기,Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q15외출,Q16a쇼핑,Q18혼자있기,Q23가전사용",0.5061,17.06,0.59,0.0826,0.5887,17.75,True
EN,12,"ADL0101,ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0115A,ADL0116A,ADL0117A,Q18,ADL0123L","Q1먹기,Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q15외출,Q16a쇼핑,Q17금전,Q18혼자있기,Q23가전사용",0.5102,17.75,0.5806,0.0785,0.5887,17.75,True
L2,12,"ADL0101,ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0115A,ADL0116A,ADL0117A,Q18,ADL0123L","Q1먹기,Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q15외출,Q16a쇼핑,Q17금전,Q18혼자있기,Q23가전사용",0.502,16.72,0.5908,0.0867,0.5887,17.75,True
EN,13,"ADL0101,ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0110A,ADL0115A,ADL0116A,Q18,ADL0122Q,ADL0123L","Q1먹기,Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q10설거지,Q15외출,Q16a쇼핑,Q18혼자있기,Q22취미,Q23가전사용",0.5089,17.75,0.5807,0.0799,0.5887,17.75,True
L2,13,"ADL0101,ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0115A,ADL0116A,ADL0117A,Q18,ADL0122Q,ADL0123L","Q1먹기,Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q15외출,Q16a쇼핑,Q17금전,Q18혼자있기,Q22취미,Q23가전사용",0.4998,16.72,0.5917,0.089,0.5887,17.75,True
EN,14,"ADL0101,ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0110A,ADL0115A,ADL0116A,ADL0117A,Q18,ADL0122Q,ADL0123L","Q1먹기,Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q10설거지,Q15외출,Q16a쇼핑,Q17금전,Q18혼자있기,Q22취미,Q23가전사용",0.5084,17.75,0.5815,0.0803,0.5887,17.75,True
L2,14,"ADL0101,ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0112A,ADL0115A,ADL0116A,ADL0117A,Q18,ADL0122Q,ADL0123L","Q1먹기,Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q12집안일,Q15외출,Q16a쇼핑,Q17금전,Q18혼자있기,Q22취미,Q23가전사용",0.5007,16.72,0.5928,0.0881,0.5887,17.75,True
