variant,k,outer_fold,n_items,items_code,items_label,mae,kappa,champion
unmerged,10,AD-1061,10,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0115A,ADL0116A,ADL0122Q,ADL0123L","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q15외출,Q16a쇼핑,Q22취미,Q23가전사용",0.5279,0.5663,True
unmerged,10,AD-1063,10,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0110A,ADL0113A,ADL0115A,ADL0122Q,ADL0123L","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q10설거지,Q13빨래,Q15외출,Q22취미,Q23가전사용",0.5279,0.5663,True
unmerged,10,AD-1064,10,"ADL0103,ADL0104,ADL0111A,ADL0112A,ADL0115A,ADL0116A,ADL0116B,ADL0117A,Q18,ADL0122Q","Q3화장실,Q4목욕,Q11식사준비,Q12집안일,Q15외출,Q16a쇼핑,Q16b지불,Q17금전,Q18혼자있기,Q22취미",0.5279,0.5663,True
unmerged,9,AD-1061,9,"ADL0101,ADL0103,ADL0104,ADL0105,ADL0110A,ADL0111A,ADL0115A,ADL0121A,ADL0123L","Q1먹기,Q3화장실,Q4목욕,Q5몸단장,Q10설거지,Q11식사준비,Q15외출,Q21글쓰기,Q23가전사용",0.532,0.5711,True
unmerged,9,AD-1063,9,"ADL0103,ADL0104,ADL0105,ADL0106B,ADL0106A,ADL0107A,ADL0114A,ADL0115A,Q18","Q3화장실,Q4목욕,Q5몸단장,Q6b옷입기,Q6a옷고르기,Q7전화,Q14가전,Q15외출,Q18혼자있기",0.532,0.5711,True
unmerged,9,AD-1064,9,"ADL0101,ADL0103,ADL0104,ADL0105,ADL0107A,ADL0112A,ADL0113A,ADL0114A,ADL0115A","Q1먹기,Q3화장실,Q4목욕,Q5몸단장,Q7전화,Q12집안일,Q13빨래,Q14가전,Q15외출",0.532,0.5711,True
unmerged,17,AD-1061,17,"ADL0101,ADL0102,ADL0103,ADL0104,ADL0105,ADL0106B,ADL0107A,ADL0110A,ADL0111A,ADL0113A,ADL0114A,ADL0115A,ADL0116A,ADL0117A,Q18,ADL0121A,ADL0122Q","Q1먹기,Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6b옷입기,Q7전화,Q10설거지,Q11식사준비,Q13빨래,Q14가전,Q15외출,Q16a쇼핑,Q17금전,Q18혼자있기,Q21글쓰기,Q22취미",0.532,0.5679,True
unmerged,17,AD-1063,17,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106B,ADL0106A,ADL0107A,ADL0110A,ADL0111A,ADL0112A,ADL0113A,ADL0115A,ADL0116A,ADL0117A,Q18,ADL0122Q,ADL0123L","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6b옷입기,Q6a옷고르기,Q7전화,Q10설거지,Q11식사준비,Q12집안일,Q13빨래,Q15외출,Q16a쇼핑,Q17금전,Q18혼자있기,Q22취미,Q23가전사용",0.532,0.5679,True
unmerged,17,AD-1064,17,"ADL0101,ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0110A,ADL0111A,ADL0112A,ADL0114A,ADL0115A,ADL0117A,Q18,ADL0121A,ADL0122Q,ADL0123L","Q1먹기,Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q10설거지,Q11식사준비,Q12집안일,Q14가전,Q15외출,Q17금전,Q18혼자있기,Q21글쓰기,Q22취미,Q23가전사용",0.532,0.5679,True
merged,14,AD-1061,14,"ADL0101,ADL0102,ADL0103,ADL0104,ADL0105,Q6,ADL0107A,ADL0111A,ADL0115A,ADL0116A,Q18,ADL0121A,ADL0122Q,ADL0123L","Q1먹기,Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6옷챙겨입기(6a+6b합산),Q7전화,Q11식사준비,Q15외출,Q16a쇼핑,Q18혼자있기,Q21글쓰기,Q22취미,Q23가전사용",0.5374,0.563,True
merged,14,AD-1063,14,"ADL0103,ADL0104,ADL0105,Q6,ADL0107A,ADL0110A,ADL0111A,ADL0113A,ADL0115A,ADL0116A,ADL0117A,Q18,ADL0122Q,ADL0123L","Q3화장실,Q4목욕,Q5몸단장,Q6옷챙겨입기(6a+6b합산),Q7전화,Q10설거지,Q11식사준비,Q13빨래,Q15외출,Q16a쇼핑,Q17금전,Q18혼자있기,Q22취미,Q23가전사용",0.5374,0.563,True
