variant,n_items,mae,hi_missed_pct,kappa,mae_vs_a1,a1_mae_ref,a0_miss_pct_ref,champion
unmerged,10,0.5279,18.09,0.5663,0.0608,0.5887,17.75,True
unmerged,9,0.532,17.06,0.5711,0.0567,0.5887,17.75,True
unmerged,17,0.532,16.72,0.5679,0.0567,0.5887,17.75,True
merged,14,0.5374,18.09,0.563,0.0513,0.5887,17.75,True
unmerged,16,0.5374,16.72,0.5669,0.0513,0.5887,17.75,True
merged,12,0.5379,17.06,0.5661,0.0508,0.5887,17.75,True
unmerged,18,0.5379,16.38,0.5662,0.0508,0.5887,17.75,True
merged,16,0.5384,17.06,0.566,0.0504,0.5887,17.75,True
unmerged,15,0.5384,17.41,0.5606,0.0504,0.5887,17.75,True
merged,18,0.5388,18.09,0.5655,0.0499,0.5887,17.75,True
unmerged,14,0.5393,18.77,0.5581,0.0495,0.5887,17.75,False
merged,15,0.5411,16.72,0.5606,0.0477,0.5887,17.75,True
merged,17,0.5415,17.41,0.5634,0.0472,0.5887,17.75,True
merged,13,0.5415,18.09,0.5583,0.0472,0.5887,17.75,True
unmerged,11,0.5433,16.72,0.5651,0.0454,0.5887,17.75,True
merged,11,0.5456,18.77,0.5637,0.0431,0.5887,17.75,False
unmerged,8,0.547,16.72,0.5558,0.0418,0.5887,17.75,True
