variant,n_items,mae,hi_missed_pct,kappa,mae_vs_a1,a1_mae_ref,a0_miss_pct_ref,champion
merged,5,0.5729,18.77,0.5323,0.0159,0.5887,17.75,False
merged,6,0.5597,17.06,0.5397,0.0291,0.5887,17.75,True
merged,7,0.5565,16.72,0.5466,0.0322,0.5887,17.75,True
merged,8,0.5542,17.06,0.5515,0.0345,0.5887,17.75,True
merged,9,0.5533,19.8,0.547,0.0354,0.5887,17.75,False
merged,10,0.5511,18.77,0.5572,0.0377,0.5887,17.75,False
merged,11,0.5456,18.77,0.5637,0.0431,0.5887,17.75,False
merged,12,0.5379,17.06,0.5661,0.0508,0.5887,17.75,True
merged,13,0.5415,18.09,0.5583,0.0472,0.5887,17.75,True
merged,14,0.5374,18.09,0.563,0.0513,0.5887,17.75,True
merged,15,0.5411,16.72,0.5606,0.0477,0.5887,17.75,True
merged,16,0.5384,17.06,0.566,0.0504,0.5887,17.75,True
merged,17,0.5415,17.41,0.5634,0.0472,0.5887,17.75,True
merged,18,0.5388,18.09,0.5655,0.0499,0.5887,17.75,True
