variant,n_items,mae,hi_missed_pct,kappa,mae_vs_a1,a1_mae_ref,a0_miss_pct_ref,champion
unmerged,5,0.6083,16.38,0.5102,-0.0195,0.5887,17.75,False
unmerged,6,0.6119,16.72,0.5166,-0.0232,0.5887,17.75,False
unmerged,7,0.5488,16.72,0.5572,0.0399,0.5887,17.75,True
unmerged,8,0.547,16.72,0.5558,0.0418,0.5887,17.75,True
unmerged,9,0.532,17.06,0.5711,0.0567,0.5887,17.75,True
unmerged,10,0.5279,18.09,0.5663,0.0608,0.5887,17.75,True
unmerged,11,0.5433,16.72,0.5651,0.0454,0.5887,17.75,True
unmerged,12,0.5683,14.33,0.5521,0.0204,0.5887,17.75,True
unmerged,13,0.5738,15.02,0.5433,0.015,0.5887,17.75,True
unmerged,14,0.5393,18.77,0.5581,0.0495,0.5887,17.75,False
unmerged,15,0.5384,17.41,0.5606,0.0504,0.5887,17.75,True
unmerged,16,0.5374,16.72,0.5669,0.0513,0.5887,17.75,True
unmerged,17,0.532,16.72,0.5679,0.0567,0.5887,17.75,True
unmerged,18,0.5379,16.38,0.5662,0.0508,0.5887,17.75,True
