variant,k,outer_fold,n_items,items_code,items_label
unmerged,5,AD-1061,5,"ADL0103,ADL0104,ADL0106B,ADL0106A,ADL0115A","Q3화장실,Q4목욕,Q6b옷입기,Q6a옷고르기,Q15외출"
unmerged,6,AD-1061,6,"ADL0104,ADL0105,ADL0106B,ADL0114A,ADL0115A,ADL0123L","Q4목욕,Q5몸단장,Q6b옷입기,Q14가전,Q15외출,Q23가전사용"
unmerged,7,AD-1061,7,"ADL0103,ADL0104,ADL0106B,ADL0113A,ADL0115A,ADL0116B,ADL0122Q","Q3화장실,Q4목욕,Q6b옷입기,Q13빨래,Q15외출,Q16b지불,Q22취미"
unmerged,8,AD-1061,8,"ADL0103,ADL0104,ADL0106B,ADL0107A,ADL0112A,ADL0115A,ADL0116B,ADL0123L","Q3화장실,Q4목욕,Q6b옷입기,Q7전화,Q12집안일,Q15외출,Q16b지불,Q23가전사용"
unmerged,9,AD-1061,9,"ADL0101,ADL0103,ADL0104,ADL0105,ADL0110A,ADL0111A,ADL0115A,ADL0121A,ADL0123L","Q1먹기,Q3화장실,Q4목욕,Q5몸단장,Q10설거지,Q11식사준비,Q15외출,Q21글쓰기,Q23가전사용"
unmerged,10,AD-1061,10,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0115A,ADL0116A,ADL0122Q,ADL0123L","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q15외출,Q16a쇼핑,Q22취미,Q23가전사용"
unmerged,11,AD-1061,11,"ADL0101,ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0111A,ADL0115A,Q18,ADL0123L","Q1먹기,Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q11식사준비,Q15외출,Q18혼자있기,Q23가전사용"
unmerged,12,AD-1061,12,"ADL0101,ADL0103,ADL0104,ADL0105,ADL0106B,ADL0110A,ADL0111A,ADL0115A,ADL0116A,ADL0116B,Q18,ADL0123L","Q1먹기,Q3화장실,Q4목욕,Q5몸단장,Q6b옷입기,Q10설거지,Q11식사준비,Q15외출,Q16a쇼핑,Q16b지불,Q18혼자있기,Q23가전사용"
unmerged,13,AD-1061,13,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0110A,ADL0112A,ADL0114A,ADL0115A,ADL0116A,ADL0117A,Q18,ADL0123L","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q10설거지,Q12집안일,Q14가전,Q15외출,Q16a쇼핑,Q17금전,Q18혼자있기,Q23가전사용"
unmerged,14,AD-1061,14,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0112A,ADL0114A,ADL0115A,ADL0116A,ADL0117A,Q18,ADL0122Q,ADL0123L","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q12집안일,Q14가전,Q15외출,Q16a쇼핑,Q17금전,Q18혼자있기,Q22취미,Q23가전사용"
unmerged,15,AD-1061,15,"ADL0101,ADL0102,ADL0103,ADL0104,ADL0105,ADL0110A,ADL0112A,ADL0113A,ADL0114A,ADL0115A,ADL0116A,Q18,ADL0121A,ADL0122Q,ADL0123L","Q1먹기,Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q10설거지,Q12집안일,Q13빨래,Q14가전,Q15외출,Q16a쇼핑,Q18혼자있기,Q21글쓰기,Q22취미,Q23가전사용"
unmerged,16,AD-1061,16,"ADL0101,ADL0102,ADL0103,ADL0104,ADL0105,ADL0106B,ADL0106A,ADL0111A,ADL0112A,ADL0113A,ADL0114A,ADL0115A,ADL0116A,Q18,ADL0121A,ADL0122Q","Q1먹기,Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6b옷입기,Q6a옷고르기,Q11식사준비,Q12집안일,Q13빨래,Q14가전,Q15외출,Q16a쇼핑,Q18혼자있기,Q21글쓰기,Q22취미"
