내부CV_순위,penalty,문항수,내부CV_score,내부CV_MAE,내부CV_놓침%,AD1062_n,AD1062_MAE,AD1062_놓침%,AD1062_카파,A0지배,A1지배
1,EN,10,0.8724,0.532,14.93,1372,0.5015,20.0,0.5645,False,True
2,EN,12,0.8728,0.5325,14.93,1368,0.5015,20.0,0.5644,False,True
3,EN,11,0.874,0.5339,14.93,1368,0.5037,20.0,0.5642,False,True
4,EN,12,0.8752,0.5353,14.93,1366,0.5322,17.07,0.5512,False,True
5,EN,11,0.8752,0.5353,14.93,1368,0.5395,17.68,0.5432,False,True
6,EN,12,0.8753,0.5354,14.93,1364,0.5359,17.07,0.5505,False,True
7,EN,11,0.876,0.5362,14.93,1370,0.5336,17.07,0.5478,False,True
8,EN,12,0.8761,0.5363,14.93,1368,0.5351,17.07,0.547,False,True
9,EN,12,0.8764,0.535,14.98,1358,0.5272,17.68,0.5497,False,True
10,EN,13,0.8776,0.5364,14.98,1358,0.5295,17.07,0.5558,False,True
11,EN,13,0.8784,0.5374,14.98,1355,0.5299,17.68,0.5497,False,True
12,EN,14,0.8788,0.5379,14.98,1355,0.5314,17.07,0.5559,False,True
13,EN,10,0.8793,0.5172,15.62,1374,0.5029,20.0,0.5654,False,True
14,L2,11,0.8799,0.5703,14.04,1392,0.5287,15.34,0.5704,False,True
15,EN,14,0.8802,0.5395,14.98,1361,0.5437,17.68,0.5541,False,True
16,L2,12,0.8803,0.5708,14.04,1388,0.5317,15.91,0.5657,False,True
17,EN,13,0.8806,0.54,14.98,1365,0.5451,17.68,0.5513,False,True
18,EN,12,0.8807,0.5713,14.04,1390,0.5957,13.64,0.5275,True,False
19,L2,12,0.881,0.5716,14.04,1392,0.5309,15.34,0.5724,False,True
20,EN,11,0.8823,0.532,15.28,1370,0.5,20.0,0.5651,False,True
21,EN,12,0.8827,0.5325,15.28,1366,0.5249,17.68,0.5539,False,True
22,EN,11,0.8831,0.533,15.28,1370,0.527,17.68,0.5493,False,True
23,EN,13,0.8833,0.5332,15.28,1368,0.5307,15.76,0.5585,False,True
24,EN,10,0.8835,0.5334,15.28,1370,0.5,20.0,0.5657,False,True
25,EN,12,0.8835,0.5335,15.28,1368,0.5336,17.68,0.5452,False,True
26,EN,9,0.8838,0.5338,15.28,1374,0.4985,20.0,0.5655,False,True
27,EN,12,0.8839,0.5339,15.28,1370,0.5299,17.68,0.553,False,True
28,EN,13,0.8843,0.5344,15.28,1366,0.5286,17.68,0.5568,False,True
29,EN,13,0.8843,0.5344,15.28,1364,0.5308,17.68,0.5508,False,True
30,EN,13,0.8843,0.5344,15.28,1368,0.5285,17.68,0.5484,False,True
31,EN,13,0.8845,0.5446,14.98,1361,0.5415,17.68,0.5543,False,True
32,L2,12,0.8847,0.512,15.97,1362,0.525,17.07,0.5658,False,True
33,L2,11,0.8849,0.5421,15.07,1384,0.5542,16.48,0.5569,False,True
34,EN,10,0.8854,0.5357,15.28,1370,0.5328,17.07,0.548,False,True
35,L2,10,0.8857,0.543,15.07,1388,0.5497,16.48,0.5588,False,True
36,EN,12,0.8857,0.546,14.98,1365,0.5443,17.68,0.5528,False,True
37,L2,13,0.8858,0.5461,14.98,1366,0.5264,16.46,0.5575,False,True
38,L2,12,0.8864,0.5468,14.98,1366,0.5271,17.07,0.5526,False,True
39,EN,13,0.8865,0.5469,14.98,1361,0.5467,17.68,0.5486,False,True
40,EN,11,0.8866,0.5371,15.28,1366,0.5307,17.07,0.5525,False,True
41,EN,13,0.8866,0.5355,15.33,1356,0.5324,17.68,0.5535,False,True
42,EN,11,0.8868,0.5373,15.28,1372,0.5328,16.36,0.5507,False,True
43,EN,12,0.8869,0.5374,15.28,1368,0.5314,16.36,0.553,False,True
44,L2,12,0.887,0.5475,14.98,1366,0.5256,16.46,0.5571,False,True
45,EN,14,0.8871,0.536,15.33,1353,0.5336,17.68,0.5541,False,True
46,EN,14,0.8871,0.5377,15.28,1364,0.5279,17.68,0.5522,False,True
47,EN,12,0.8872,0.5478,14.98,1365,0.5363,17.68,0.5563,False,True
48,L2,11,0.8873,0.5691,14.34,1358,0.5206,16.46,0.5636,False,True
49,EN,11,0.8877,0.5683,14.38,1392,0.5309,16.0,0.569,False,True
50,L2,12,0.8878,0.5485,14.98,1364,0.5389,17.68,0.5454,False,True
51,L2,12,0.888,0.5457,15.07,1384,0.5527,16.48,0.554,False,True
52,EN,13,0.8882,0.5672,14.43,1380,0.542,15.34,0.5649,False,True
53,EN,13,0.8883,0.5374,15.33,1356,0.5317,17.68,0.5474,False,True
54,L2,12,0.8883,0.5162,15.97,1360,0.4971,19.51,0.5686,False,True
55,EN,14,0.8883,0.5375,15.33,1353,0.5344,17.68,0.5477,False,True
56,L2,13,0.8885,0.5164,15.97,1360,0.4956,19.51,0.5723,False,True
57,L2,10,0.8886,0.5166,15.97,1366,0.4934,18.79,0.5744,False,True
58,EN,11,0.8888,0.5466,15.07,1388,0.5526,16.48,0.5532,False,True
59,EN,12,0.8888,0.5497,14.98,1361,0.5437,17.68,0.5499,False,True
60,EN,14,0.8891,0.5384,15.33,1356,0.5288,17.68,0.5496,False,True
61,EN,10,0.8892,0.5471,15.07,1388,0.5533,16.48,0.548,False,True
62,L2,13,0.8892,0.5153,16.03,1351,0.4944,19.51,0.571,False,True
63,EN,10,0.8893,0.5472,15.07,1386,0.5527,16.48,0.5542,False,True
64,EN,11,0.8893,0.5472,15.07,1386,0.5548,16.48,0.5525,False,True
65,L2,9,0.8894,0.5619,14.63,1370,0.5161,17.07,0.5649,False,True
66,L2,10,0.8894,0.5175,15.97,1370,0.4993,18.79,0.5753,False,True
67,EN,13,0.8896,0.539,15.33,1368,0.5314,17.07,0.5587,False,True
68,EN,14,0.8897,0.5391,15.33,1364,0.5308,17.07,0.5596,False,True
69,L2,10,0.8899,0.5297,15.62,1370,0.4964,19.39,0.5705,False,True
70,EN,12,0.8899,0.548,15.07,1384,0.5578,16.48,0.5516,False,True
71,EN,11,0.8899,0.548,15.07,1384,0.5542,16.48,0.5517,False,True
72,L2,12,0.89,0.551,14.98,1362,0.5279,16.46,0.5657,False,True
73,L2,12,0.89,0.5162,16.03,1354,0.4911,19.51,0.5742,False,True
74,EN,14,0.8901,0.5396,15.33,1354,0.5258,17.07,0.5559,False,True
75,L2,13,0.8902,0.5712,14.38,1388,0.5295,15.34,0.5685,False,True
76,EN,13,0.8903,0.5696,14.43,1377,0.5418,15.34,0.5646,False,True
77,L2,12,0.8903,0.5371,15.41,1388,0.5468,16.48,0.5586,False,True
78,L2,13,0.8904,0.5515,14.98,1362,0.5235,16.46,0.563,False,True
79,L2,12,0.8908,0.5192,15.97,1366,0.522,17.68,0.5609,False,True
80,L2,11,0.8914,0.5384,15.41,1388,0.554,16.48,0.5549,False,True
81,L2,13,0.8914,0.5527,14.98,1364,0.5367,17.07,0.5516,False,True
82,EN,12,0.8916,0.5413,15.33,1370,0.5299,17.07,0.5616,False,True
83,L2,11,0.8917,0.5388,15.41,1388,0.5476,16.48,0.5574,False,True
84,L2,11,0.8918,0.5203,15.97,1364,0.4912,19.51,0.5759,False,True
85,EN,14,0.8921,0.5419,15.33,1361,0.5393,17.18,0.5565,False,True
86,L2,14,0.8923,0.5654,14.63,1362,0.522,17.68,0.5634,False,True
87,EN,11,0.8923,0.5538,14.98,1365,0.5385,17.68,0.5568,False,True
88,EN,10,0.8924,0.519,16.03,1362,0.5308,15.76,0.5527,False,True
89,L2,13,0.8924,0.5307,15.68,1363,0.5356,17.07,0.5608,False,True
90,EN,12,0.8924,0.5327,15.62,1370,0.5321,15.76,0.556,False,True
91,EN,12,0.8925,0.5424,15.33,1358,0.5317,17.07,0.5535,False,True
92,L2,14,0.8925,0.5706,14.48,1383,0.5307,15.52,0.5654,False,True
93,L2,14,0.8925,0.5706,14.48,1379,0.5337,15.52,0.565,False,True
94,L2,11,0.8925,0.5212,15.97,1366,0.4985,18.79,0.579,False,True
95,EN,14,0.8926,0.5724,14.43,1377,0.5418,15.34,0.5658,False,True
96,EN,11,0.8928,0.5195,16.03,1359,0.5357,15.76,0.5517,False,True
97,L2,11,0.893,0.5217,15.97,1366,0.5051,20.12,0.5672,False,True
98,EN,11,0.8932,0.5336,15.62,1370,0.5307,16.36,0.5546,False,True
99,EN,13,0.8932,0.522,15.97,1364,0.5345,17.07,0.5503,False,True
100,L2,10,0.8935,0.5668,14.63,1370,0.5285,16.46,0.5613,False,True
