penalty,n_items,items_code,items_label,mae,hi_missed_pct,kappa,n_scored,mae_vs_a1,a1_mae_ref,a0_miss_pct_ref,champion,pass,score,rank
EN,10,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0110A,ADL0115A,ADL0116A,Q18","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q10설거지,Q15외출,Q16a쇼핑,Q18혼자있기",0.532,14.93,0.5662,2171,0.0567,0.5887,17.75,True,True,0.8724064242769339,1
EN,12,"ADL0101,ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0110A,ADL0115A,ADL0116A,ADL0117A,Q18","Q1먹기,Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q10설거지,Q15외출,Q16a쇼핑,Q17금전,Q18혼자있기",0.5325,14.93,0.5664,2169,0.0562,0.5887,17.75,True,True,0.872831088791967,2
EN,11,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0110A,ADL0115A,ADL0116A,ADL0117A,Q18","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q10설거지,Q15외출,Q16a쇼핑,Q17금전,Q18혼자있기",0.5339,14.93,0.565,2169,0.0549,0.5887,17.75,True,True,0.8740201494340598,3
EN,12,"ADL0101,ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0113A,ADL0115A,ADL0116A,ADL0117A,Q18","Q1먹기,Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q13빨래,Q15외출,Q16a쇼핑,Q17금전,Q18혼자있기",0.5353,14.93,0.5656,2167,0.0534,0.5887,17.75,True,True,0.8752092100761526,4
EN,11,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0110A,ADL0113A,ADL0115A,ADL0116A,Q18","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q10설거지,Q13빨래,Q15외출,Q16a쇼핑,Q18혼자있기",0.5353,14.93,0.5645,2165,0.0534,0.5887,17.75,True,True,0.8752092100761526,5
EN,12,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0110A,ADL0113A,ADL0115A,ADL0116A,ADL0117A,Q18","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q10설거지,Q13빨래,Q15외출,Q16a쇼핑,Q17금전,Q18혼자있기",0.5354,14.93,0.565,2163,0.0534,0.5887,17.75,True,True,0.8752941429791592,6
EN,11,"ADL0101,ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0113A,ADL0115A,ADL0116A,Q18","Q1먹기,Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q13빨래,Q15외출,Q16a쇼핑,Q18혼자있기",0.5362,14.93,0.5653,2169,0.0526,0.5887,17.75,True,True,0.8759736062032122,7
EN,12,"ADL0101,ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0110A,ADL0113A,ADL0115A,ADL0116A,Q18","Q1먹기,Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q10설거지,Q13빨래,Q15외출,Q16a쇼핑,Q18혼자있기",0.5363,14.93,0.5643,2165,0.0525,0.5887,17.75,True,True,0.8760585391062188,8
EN,12,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106B,ADL0106A,ADL0107A,ADL0113A,ADL0115A,ADL0116A,Q18,ADL0121A","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6b옷입기,Q6a옷고르기,Q7전화,Q13빨래,Q15외출,Q16a쇼핑,Q18혼자있기,Q21글쓰기",0.535,14.98,0.5657,2155,0.0537,0.5887,17.75,True,True,0.876362862071358,9
EN,13,"ADL0101,ADL0102,ADL0103,ADL0104,ADL0105,ADL0106B,ADL0106A,ADL0107A,ADL0113A,ADL0115A,ADL0116A,Q18,ADL0121A","Q1먹기,Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6b옷입기,Q6a옷고르기,Q7전화,Q13빨래,Q15외출,Q16a쇼핑,Q18혼자있기,Q21글쓰기",0.5364,14.98,0.5661,2155,0.0523,0.5887,17.75,True,True,0.8775519227134507,10
EN,13,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106B,ADL0106A,ADL0107A,ADL0113A,ADL0115A,ADL0116A,ADL0117A,Q18,ADL0121A","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6b옷입기,Q6a옷고르기,Q7전화,Q13빨래,Q15외출,Q16a쇼핑,Q17금전,Q18혼자있기,Q21글쓰기",0.5374,14.98,0.5656,2153,0.0514,0.5887,17.75,True,True,0.878401251743517,11
EN,14,"ADL0101,ADL0102,ADL0103,ADL0104,ADL0105,ADL0106B,ADL0106A,ADL0107A,ADL0113A,ADL0115A,ADL0116A,ADL0117A,Q18,ADL0121A","Q1먹기,Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6b옷입기,Q6a옷고르기,Q7전화,Q13빨래,Q15외출,Q16a쇼핑,Q17금전,Q18혼자있기,Q21글쓰기",0.5379,14.98,0.5665,2153,0.0509,0.5887,17.75,True,True,0.8788259162585501,12
EN,10,"ADL0101,ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0115A,ADL0116A,Q18","Q1먹기,Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q15외출,Q16a쇼핑,Q18혼자있기",0.5172,15.62,0.5765,2175,0.0715,0.5887,17.75,True,True,0.8792729743502633,13
