n_items,champion_merged,champion_unmerged,hi_missed_pct_merged,hi_missed_pct_unmerged,kappa_merged,kappa_unmerged,mae_merged,mae_unmerged
5,0.0,0.0,18.77,16.38,0.5323,0.5102,0.5729,0.6083
6,1.0,0.0,17.06,16.72,0.5397,0.5166,0.5597,0.6119
7,1.0,1.0,16.72,16.72,0.5466,0.5572,0.5565,0.5488
8,1.0,1.0,17.06,16.72,0.5515,0.5558,0.5542,0.547
9,0.0,1.0,19.8,17.06,0.547,0.5711,0.5533,0.532
10,0.0,1.0,18.77,18.09,0.5572,0.5663,0.5511,0.5279
11,0.0,1.0,18.77,16.72,0.5637,0.5651,0.5456,0.5433
12,1.0,1.0,17.06,14.33,0.5661,0.5521,0.5379,0.5683
13,1.0,1.0,18.09,15.02,0.5583,0.5433,0.5415,0.5738
14,1.0,0.0,18.09,18.77,0.563,0.5581,0.5374,0.5393
15,1.0,1.0,16.72,17.41,0.5606,0.5606,0.5411,0.5384
16,1.0,1.0,17.06,16.72,0.566,0.5669,0.5384,0.5374
17,1.0,1.0,17.41,16.72,0.5634,0.5679,0.5415,0.532
18,1.0,1.0,18.09,16.38,0.5655,0.5662,0.5388,0.5379
