outer_fold,n_items,n_test,mae,kappa,acc_within1,underest_ge2_rate,top2class_underclassified_rate
AD-1061,5,668,0.4101796407185629,0.5685236280123124,0.9655688622754491,0.025449101796407185,0.5194805194805194
AD-1061,6,668,0.4101796407185629,0.5605118589427284,0.968562874251497,0.02694610778443114,0.5974025974025974
AD-1061,7,668,0.4026946107784431,0.5667767465226021,0.968562874251497,0.02694610778443114,0.5844155844155844
AD-1061,8,668,0.38772455089820357,0.5849051898281696,0.9730538922155688,0.023952095808383235,0.5714285714285714
AD-1061,9,668,0.4041916167664671,0.5583252062085723,0.9655688622754491,0.02844311377245509,0.5974025974025974
AD-1061,10,668,0.4176646706586826,0.5492303577073657,0.9625748502994012,0.02844311377245509,0.5714285714285714
AD-1061,11,668,0.39520958083832336,0.5674426229508196,0.9640718562874252,0.029940119760479042,0.5844155844155844
AD-1061,12,668,0.3937125748502994,0.5705819449319608,0.9640718562874252,0.02844311377245509,0.5584415584415584
AD-1061,13,668,0.38922155688622756,0.5708001779271487,0.9640718562874252,0.02844311377245509,0.5844155844155844
AD-1061,14,668,0.38622754491017963,0.5797532894736842,0.9670658682634731,0.02694610778443114,0.5584415584415584
AD-1061,15,668,0.38622754491017963,0.5760722645303795,0.9655688622754491,0.02844311377245509,0.5844155844155844
AD-1061,16,668,0.3907185628742515,0.5701753660010096,0.9655688622754491,0.02694610778443114,0.5844155844155844
AD-1061,17,668,0.38023952095808383,0.5841043656094866,0.9670658682634731,0.02694610778443114,0.5454545454545454
AD-1061,18,668,0.3787425149700599,0.5842208251800658,0.968562874251497,0.02694610778443114,0.5584415584415584
AD-1063,5,835,0.39520958083832336,0.5267110670256483,0.9508982035928144,0.037125748502994015,0.7291666666666666
AD-1063,6,835,0.39520958083832336,0.5348834049768223,0.9520958083832335,0.037125748502994015,0.7395833333333334
AD-1063,7,835,0.3724550898203593,0.5734114477935761,0.9556886227544911,0.033532934131736525,0.6770833333333334
AD-1063,8,835,0.3724550898203593,0.5678419859036973,0.9556886227544911,0.033532934131736525,0.6875
AD-1063,9,835,0.3688622754491018,0.5681267173104898,0.9568862275449102,0.03473053892215569,0.6875
AD-1063,10,835,0.3652694610778443,0.5789692607904215,0.9592814371257485,0.032335329341317366,0.6666666666666666
AD-1063,11,835,0.36407185628742517,0.5682546643710273,0.9556886227544911,0.03592814371257485,0.6666666666666666
AD-1063,12,835,0.3568862275449102,0.5760874820700437,0.9544910179640719,0.03592814371257485,0.625
AD-1063,13,835,0.35449101796407184,0.5795568982880162,0.9568862275449102,0.03473053892215569,0.6458333333333334
AD-1063,14,835,0.35449101796407184,0.5757206547632057,0.9568862275449102,0.03473053892215569,0.6770833333333334
AD-1063,15,835,0.35568862275449104,0.5747119844771342,0.9568862275449102,0.03473053892215569,0.6875
AD-1063,16,835,0.3688622754491018,0.5552320366511654,0.9556886227544911,0.03592814371257485,0.7083333333333334
AD-1063,17,835,0.3652694610778443,0.5635807110602857,0.9556886227544911,0.03592814371257485,0.6875
AD-1063,18,835,0.35568862275449104,0.5722306689685768,0.9568862275449102,0.03592814371257485,0.6875
AD-1064,5,705,0.4297872340425532,0.5210375800668509,0.9390070921985816,0.06099290780141844,0.7416666666666667
AD-1064,6,705,0.4340425531914894,0.5179222856921682,0.9390070921985816,0.059574468085106386,0.7416666666666667
AD-1064,7,705,0.44113475177304967,0.5135405089372024,0.9390070921985816,0.059574468085106386,0.725
AD-1064,8,705,0.4368794326241135,0.5211954422556972,0.9418439716312057,0.05673758865248227,0.7083333333333334
AD-1064,9,705,0.4340425531914894,0.5285599925413201,0.9418439716312057,0.05531914893617021,0.7083333333333334
AD-1064,10,705,0.43120567375886526,0.5350419126572721,0.9446808510638298,0.0524822695035461,0.6916666666666667
AD-1064,11,705,0.4269503546099291,0.5403886401420541,0.9460992907801419,0.0524822695035461,0.6833333333333333
AD-1064,12,705,0.425531914893617,0.5397553810410707,0.9460992907801419,0.0524822695035461,0.6916666666666667
AD-1064,13,705,0.42127659574468085,0.5514363461828338,0.9460992907801419,0.05106382978723404,0.7
AD-1064,14,705,0.42411347517730497,0.5506450536398044,0.9460992907801419,0.05106382978723404,0.6833333333333333
AD-1064,15,705,0.42836879432624114,0.5450485103569295,0.9460992907801419,0.05106382978723404,0.7
AD-1064,16,705,0.41843971631205673,0.555023514728145,0.9460992907801419,0.05106382978723404,0.6583333333333333
AD-1064,17,705,0.42127659574468085,0.5511249721541546,0.9446808510638298,0.0524822695035461,0.6833333333333333
AD-1064,18,705,0.41418439716312055,0.5581126640181073,0.9460992907801419,0.0524822695035461,0.675
