n_items,mae,kappa,acc_within1,underest_ge2_rate,top2class_underclassified_rate
5,0.4107789855072464,0.5375493742870339,0.9515398550724637,0.04121376811594203,0.663437950937951
6,0.4121376811594203,0.5372213660970868,0.9528985507246377,0.04121376811594203,0.6928841991341992
7,0.40353260869565216,0.5522878099571839,0.9542572463768116,0.03985507246376811,0.662166305916306
8,0.3976449275362319,0.558110286152659,0.9565217391304348,0.03804347826086957,0.6557539682539683
9,0.4003623188405797,0.5525280079000072,0.9547101449275363,0.03940217391304348,0.664411976911977
10,0.40217391304347827,0.5559464493350993,0.9556159420289855,0.03759057971014493,0.6432539682539683
11,0.39356884057971014,0.5591115526182534,0.9551630434782609,0.03940217391304348,0.6448051948051948
12,0.389945652173913,0.5628212546997242,0.9547101449275363,0.03894927536231884,0.6250360750360751
13,0.38632246376811596,0.5679289642140971,0.9556159420289855,0.03804347826086957,0.6434163059163059
14,0.38632246376811596,0.5689341969709057,0.9565217391304348,0.03759057971014493,0.6396194083694083
15,0.38813405797101447,0.5656521646496087,0.9560688405797102,0.03804347826086957,0.6573051948051948
16,0.391304347826087,0.5596863555143748,0.9556159420289855,0.03804347826086957,0.6503607503607504
17,0.38768115942028986,0.5658128239724433,0.9556159420289855,0.0384963768115942,0.6387626262626263
18,0.3813405797101449,0.5713503387417623,0.9569746376811594,0.0384963768115942,0.6403138528138529
