item,importance_mae_increase,outer_fold
ADL0115A,0.09123376623376625,AD-1061
ADL0104,0.020779220779220797,AD-1061
Q18,0.01590909090909092,AD-1061
ADL0116A,0.01266233766233768,AD-1061
ADL0116B,0.009415584415584433,AD-1061
ADL0106B,0.008441558441558455,AD-1061
ADL0103,0.0071428571428571565,AD-1061
ADL0106A,0.0061688311688311796,AD-1061
ADL0105,0.0045454545454545634,AD-1061
ADL0113A,0.0045454545454545634,AD-1061
ADL0107A,0.004545454545454558,AD-1061
ADL0112A,0.0019480519480519654,AD-1061
ADL0101,0.0006493506493506606,AD-1061
ADL0117A,1.1102230246251566e-17,AD-1061
ADL0121A,-0.001298701298701288,AD-1061
ADL0110A,-0.0016233766233766044,AD-1061
ADL0102,-0.002922077922077909,AD-1061
ADL0122Q,-0.003896103896103886,AD-1061
ADL0114A,-0.004220779220779208,AD-1061
ADL0123L,-0.004545454545454536,AD-1061
ADL0111A,-0.007467532467532451,AD-1061
ADL0115A,0.11745454545454548,AD-1063
Q18,0.01127272727272729,AD-1063
ADL0103,0.00945454545454547,AD-1063
ADL0102,0.0014545454545454584,AD-1063
ADL0105,0.0007272727272727431,AD-1063
ADL0121A,1.6653345369377347e-17,AD-1063
ADL0104,1.6653345369377347e-17,AD-1063
ADL0110A,-0.0007272727272727208,AD-1063
ADL0107A,-0.0014545454545454417,AD-1063
ADL0101,-0.0018181818181817965,AD-1063
ADL0114A,-0.0029090909090908833,AD-1063
ADL0106A,-0.0032727272727272492,AD-1063
ADL0106B,-0.0036363636363636155,AD-1063
ADL0112A,-0.0058181818181818005,AD-1063
ADL0117A,-0.0058181818181818005,AD-1063
ADL0113A,-0.008727272727272712,AD-1063
ADL0111A,-0.010909090909090886,AD-1063
ADL0116B,-0.011999999999999983,AD-1063
ADL0116A,-0.01599999999999998,AD-1063
ADL0123L,-0.017090909090909066,AD-1063
ADL0122Q,-0.02145454545454543,AD-1063
ADL0115A,0.086046511627907,AD-1064
ADL0104,0.019269102990033225,AD-1064
Q18,0.007973421926910317,AD-1064
ADL0105,0.0029900332225913763,AD-1064
ADL0122Q,0.0009966777408637994,AD-1064
ADL0107A,0.0006644518272425293,AD-1064
ADL0106A,0.00033222591362127576,AD-1064
ADL0114A,0.0003322259136212702,AD-1064
ADL0103,1.1102230246251566e-17,AD-1064
ADL0123L,-0.0009966777408637717,AD-1064
ADL0101,-0.0019933554817275602,AD-1064
ADL0121A,-0.0019933554817275654,AD-1064
ADL0102,-0.003322259136212602,AD-1064
ADL0112A,-0.0033222591362126186,AD-1064
ADL0113A,-0.0043189368770763905,AD-1064
ADL0117A,-0.004318936877076402,AD-1064
ADL0110A,-0.004983388704318914,AD-1064
ADL0111A,-0.004983388704318919,AD-1064
ADL0116A,-0.006312292358803972,AD-1064
ADL0106B,-0.006644518272425237,AD-1064
ADL0116B,-0.008970099667774073,AD-1064
